QEI Point ID,Station,Point,Description,Comm,RTU,Page,Point,Analog #,Relay,Relay,Scale Factor,Point Type,HELPER COLUMN,IP,DNP Address,DNP Point #,,
34002,ME,MTXSC,MOBIL TX SELF CK,1,11,7,2,,,,,STATUS,MEMTXSCSTATUS,172.16.3.81,1,#N/A,,
34268,ME,MTXTOT,MOBIL TX HOT OIL TEMP,1,11,7,1,,,,,STATUS,MEMTXTOTSTATUS,172.16.3.81,1,#N/A,,
34992,ME,3LR,ME BKR 3 LOC/REM SW,1,11,0,11,,,,,STATUS,ME3LRSTATUS,172.16.3.81,1,93,,
34993,ME,4GT,ME BKR 4 GRND TRIP BLOCK,1,11,0,14,,,,,STATUS,ME4GTSTATUS,172.16.3.81,1,104,,
34993,ME,4GT,BKR 4 GND TRIP DISABLED,1,11,,,,14,1,,RELAY,ME4GTRELAY,172.16.3.81,1,35,,
34993,ME,4GT,BKR 4 GND TRIP ENABLED,1,11,,,,14,0,,RELAY,ME4GTRELAY,172.16.3.81,1,35,,
34994,ME,4LR,ME BKR 4 LOC/REM SW,1,11,0,15,,,,,STATUS,ME4LRSTATUS,172.16.3.81,1,105,,
34995,ME,351SC1,ME BKR 1 RELAY FAIL,1,11,1,1,,,,,STATUS,ME351SC1STATUS,172.16.3.81,1,188,,
34996,ME,351SC2,ME BKR 2 RELAY FAIL,1,11,1,2,,,,,STATUS,ME351SC2STATUS,172.16.3.81,1,189,,
34997,ME,351SC3,ME BKR 3 RELAY FAIL,1,11,1,3,,,,,STATUS,ME351SC3STATUS,172.16.3.81,1,190,,
34998,ME,351SC4,ME BKR 4 RELAY FAIL,1,11,1,4,,,,,STATUS,ME351SC4STATUS,172.16.3.81,1,191,,
34999,ME,35C118,ME BKR 1 STATUS COMM,1,11,1,5,,,,,STATUS,ME35C118STATUS,172.16.3.81,1,131,,
35000,ME,35C119,ME BKR 2 STATUS COMM,1,11,1,6,,,,,STATUS,ME35C119STATUS,172.16.3.81,1,132,,
35001,ME,35C120,ME BKR 3 STATUS COMM,1,11,1,7,,,,,STATUS,ME35C120STATUS,172.16.3.81,1,133,,
35002,ME,35C121,ME BKR 4 STATUS COMM,1,11,1,8,,,,,STATUS,ME35C121STATUS,172.16.3.81,1,134,,
35003,ME,35C123,TX1 2505 STAT/CNTRL COMM,1,11,1,9,,,,,STATUS,ME35C123STATUS,172.16.3.81,1,136,,
35004,ME,35C126,HOUSE 2505 SELF CHECK,1,11,1,10,,,,,STATUS,ME35C126STATUS,172.16.3.81,1,139,,
