QEI Point ID,Station,Point,Description,Comm,RTU,Page,Point,Analog #,Relay,Relay,Scale Factor,Point Type,HELPER COLUMN,Full Point Name,OSI SCADA ID,IP,DNP Address,DNP Point #,,
08082,ME,THST2,ME TX WINDING 2 TEMP,1,11,,,41,,,1,ANALOG,ANALOGTHST2,METHST2,4041039,172.16.3.81,1,39,39,1
08083,ME,THST3,ME TX WINDING 3 TEMP,1,11,,,42,,,1,ANALOG,ANALOGTHST3,METHST3,4041040,172.16.3.81,1,40,40,1
08084,ME,TXTEMP,ME TX TANK OIL TEMP,1,11,,,43,,,1,ANALOG,ANALOGTXTEMP,METXTEMP,4041041,172.16.3.81,1,41,41,1
08371,ME,TCTEMP,ME LTC TANK OIL TEMP,1,11,,,44,,,1,ANALOG,ANALOGTCTEMP,METCTEMP,4041042,172.16.3.81,1,42,42,1
08405,ME,TXABT,ME TX AMBIENT TEMP,1,11,,,45,,,1,ANALOG,ANALOGTXABT,METXABT,4041043,172.16.3.81,1,43,43,1
30116,ME,4BF,ME BKR 4 BKR FAIL,1,11,6,8,,,,,STATUS,STATUS4BF,ME4BF,1041001,172.16.3.81,1,107,107,1
30224,ME,1BF,ME BKR 1 BKR FAIL,1,11,6,5,,,,,STATUS,STATUS1BF,ME1BF,1041002,172.16.3.81,1,71,71,1
30227,ME,3BF,ME BKR 3 BKR FAIL,1,11,6,7,,,,,STATUS,STATUS3BF,ME3BF,1041003,172.16.3.81,1,95,95,1
30705,ME,1,ME FEEDER BKR 1,1,11,0,0,,,,,STATUS,STATUS1,ME1,1041004,172.16.3.81,1,66,18,0
30705,ME,1,BRK #1 OPEN,1,11,,,,0,1,,RELAY,RELAY1,ME1,1041004,172.16.3.81,1,18,66,0
30705,ME,1,BRK #1 CLOSE,1,11,,,,0,0,,RELAY,RELAY1,ME1,1041004,172.16.3.81,1,18,66,0
30706,ME,2,ME FEEDER BKR 2,1,11,0,4,,,,,STATUS,STATUS2,ME2,1041005,172.16.3.81,1,78,23,0
30706,ME,2,BRK #2 TRIP,1,11,,,,4,1,,RELAY,RELAY2,ME2,1041005,172.16.3.81,1,23,78,0
30706,ME,2,BRK #2 CLOSE,1,11,,,,4,0,,RELAY,RELAY2,ME2,1041005,172.16.3.81,1,23,78,0
30707,ME,4,ME FEEDER BKR 4,1,11,0,12,,,,,STATUS,STATUS4,ME4,1041006,172.16.3.81,1,102,33,0
30707,ME,4,BRK #4 TRIP,1,11,,,,12,1,,RELAY,RELAY4,ME4,1041006,172.16.3.81,1,33,102,0
