Name  ,Desc  ,Zones  ,PreSuffx  ,Comm_Line  ,RTU_Number  ,Scan_PT  ,Sev_State0  ,Sev_State1  ,Sev_State2  ,Sev_State3  ,Vcode_State0  ,Vcode_State1  ,Vcode_State2  ,Vcode_State3  ,Alarm_Task  ,Alarm_Fmt  ,APoint_01  ,APoint_02  ,APoint_03  ,APoint_04  ,APoint_05  ,APoint_06  ,APoint_07  ,APoint_08  ,APoint_09  ,APoint_10  ,Param_01  ,Param_02  ,Param_03  
"FM,RTU     ",FT MCCOY REMOTE  ,7  ,0  ,7  ,21  ,"FM  ,FS  ",3  ,4  ,4  ,4  ,3  ,4  ,0  ,0  ,          ,185  ,  ,  ,  ,"FM  ,SOEPT  ",  ,  ,  ,  ,  ,  ,0  ,10  ,0  
"FA,RTU     ",FARNSWORTH REMOTE SEL  ,5  ,0  ,5  ,9  ,"FA  ,FS  ",3  ,4  ,4  ,4  ,3  ,4  ,0  ,0  ,          ,185  ,  ,  ,  ,"FA  ,SOEPT  ",  ,  ,  ,  ,  ,  ,0  ,10  ,0  
"ME,RTU     ",MELROSE REMOTE  ,1  ,0  ,1  ,11  ,"ME  ,FS  ",3  ,4  ,4  ,4  ,3  ,4  ,0  ,0  ,          ,185  ,  ,  ,  ,"ME  ,SOEPT  ",  ,  ,  ,  ,  ,  ,0  ,10  ,0  
"LY,RTU     ",LYNNE RTU SEL  ,7  ,0  ,7  ,47  ,"LY  ,FS  ",3  ,4  ,4  ,4  ,3  ,4  ,0  ,0  ,          ,185  ,  ,  ,  ,"LY  ,SOEPT  ",  ,  ,  ,  ,  ,  ,0  ,10  ,0  
"SPR,RTU11   ",SPARE REMOTE  ,1 2 3 4 5 6 7 8  ,0  ,0  ,29  ,  ,3  ,4  ,4  ,4  ,3  ,4  ,0  ,0  ,          ,185  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0  ,10  ,0  
"DB,RTU2    ",DOUBLE BRANCH VIRT RTU  ,3  ,0  ,3  ,8  ,"DB  ,FS  ",3  ,4  ,4  ,4  ,3  ,4  ,0  ,0  ,          ,185  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0  ,10  ,0  
"GT,RTU     ",GEORGETOWN RTU SEL  ,8  ,0  ,7  ,29  ,"GT  ,FS  ",3  ,4  ,4  ,4  ,3  ,4  ,0  ,0  ,          ,185  ,  ,  ,  ,"GT  ,SOEPT  ",  ,  ,  ,  ,  ,  ,0  ,10  ,0  
"HA,RTU     ",HAMMOND RTU SEL  ,7  ,0  ,7  ,33  ,"HA  ,FS  ",3  ,4  ,4  ,4  ,3  ,4  ,0  ,0  ,          ,185  ,  ,  ,  ,"HA  ,SOEPT  ",  ,  ,  ,  ,  ,  ,0  ,10  ,0  
"AC,RTU     ",ARCHER REMOTE SEL  ,5  ,0  ,5  ,23  ,"AC  ,FS  ",3  ,4  ,4  ,4  ,3  ,4  ,0  ,0  ,          ,185  ,  ,  ,  ,"AC  ,SOEPT  ",  ,  ,  ,  ,  ,  ,0  ,10  ,0  
"G5,RTU     ",LAKE BUTLER GEN REMOTE  ,3  ,0  ,3  ,61  ,"G5  ,FS  ",3  ,4  ,4  ,4  ,3  ,4  ,0  ,0  ,          ,185  ,  ,  ,  ,"G5  ,SOEPT  ",  ,  ,  ,  ,  ,  ,0  ,10  ,0  
"G11,RTU     ",SPARTON GEN RTU AT SG  ,7  ,0  ,12  ,49  ,"G11 ,FS  ",3  ,4  ,4  ,4  ,3  ,4  ,0  ,0  ,          ,185  ,  ,  ,  ,"G11 ,SOEPT  ",  ,  ,  ,  ,  ,  ,0  ,10  ,0  
"AB,RTU     ",ASTOR SWITCHING RTU  ,1  ,0  ,7  ,25  ,"AB  ,FS  ",3  ,4  ,4  ,4  ,3  ,4  ,0  ,0  ,          ,185  ,  ,  ,  ,"AB  ,SOEPT  ",  ,  ,  ,  ,  ,  ,0  ,10  ,0  
"SPR,RTU5    ",SPARE REMOTE  ,1 2 3 4 5 6 7 8  ,0  ,0  ,5  ,  ,3  ,4  ,4  ,4  ,3  ,4  ,0  ,0  ,          ,185  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0  ,10  ,0  
"MX,RTU     ",MAXVILLE REMOTE  ,1 2 3 4 5 6 7 8  ,0  ,3  ,27  ,"MX  ,FS  ",3  ,4  ,4  ,4  ,3  ,4  ,0  ,0  ,          ,185  ,  ,  ,  ,"MX  ,SOEPT  ",  ,  ,  ,  ,  ,  ,0  ,10  ,0  
"WH,RTU     ",WACAHOOTA REMOTE  ,5  ,0  ,5  ,25  ,"WH  ,FS  ",3  ,4  ,4  ,4  ,3  ,4  ,0  ,0  ,          ,185  ,  ,  ,  ,"WH  ,SOEPT  ",  ,  ,  ,  ,  ,  ,0  ,10  ,0  
"BC,RTU     ",BC REMOTE  ,3  ,0  ,3  ,57  ,"BC  ,FS  ",3  ,4  ,4  ,4  ,3  ,4  ,0  ,0  ,          ,185  ,  ,  ,  ,"BC  ,SOEPT  ",  ,  ,  ,  ,  ,  ,0  ,10  ,0  
