record,name_to_match,OrderNo,Type,Key,Name,Stn,AOR,pState,Norm,AlarmGroup,ICAddress,FeedbackKey,pDeviceInstance,pCtrlState,pScale,HiControlLimit,LoControlLimit,Setpoint_emulation,Name_Status_Source  ,Desc  ,Zones  ,PreSuffx  ,Telem_A  ,Open_A  ,Open_B  ,Close_A  ,Normal_State  
25,"RS,MET2CP",25,1,"""01027001""","""RS TX2 735 MET CPORT8""",027,4,227,0,1,"""""","""""",22,"""""","""""","""""","""""","""""","RS,MET2CP  ",RS TX2 735 MET CPORT8  ,4  ,26,7  ,  ,  ,  ,0
26,"RD,24T2SC",26,1,"""01036001""","""RD TX2 2411 FAIL""",036,4,227,0,1,"""""","""""",23,"""""","""""","""""","""""","""""","RD,24T2SC  ",RD TX2 2411 FAIL  ,4  ,26,9  ,  ,  ,  ,0
27,"RD,35C211",27,1,"""01036002""","""RD TX2 2411 ALARMS COM""",036,4,227,0,1,"""""","""""",24,"""""","""""","""""","""""","""""","RD,35C211  ",RD TX2 2411 ALARMS COM  ,4  ,26,9  ,  ,  ,  ,0
28,"RD,35C228",28,1,"""01036003""","""RD TX2 2411 FUTURE COM""",036,4,227,0,1,"""""","""""",25,"""""","""""","""""","""""","""""","RD,35C228  ",RD TX2 2411 FUTURE COM  ,4  ,26,10  ,  ,  ,  ,0
29,"WB,POT",29,1,"""01052001""","""W6144 LOSS OF POTENTIAL""",052,6,205,0,1,"""""","""""",26,"""""","""""","""""","""""","""""","WB,POT     ",W6144 LOSS OF POTENTIAL  ,6  ,4,1  ,  ,  ,  ,0
30,"NR,35CP19",30,1,"""01051002""","""311C-1 CP19 (MBIT)""",051,3,227,0,1,"""""","""""",27,"""""","""""","""""","""""","""""","NR,35CP19  ",311C-1 CP19 (MBIT)  ,3  ,26,4  ,  ,  ,  ,0
31,"WA,LTCFLT",31,1,"""01004001""","""LTC FILTER""",004,5,227,0,1,"""""","""""",28,"""""","""""","""""","""""","""""","WA,LTCFLT  ",LTC FILTER  ,5  ,26,3  ,  ,  ,  ,0
32,"BY,6285LG",32,1,"""01002001""","""BY BKR LO SF6 GAS TX1""",002,4,227,0,1,"""""","""""",29,"""""","""""","""""","""""","""""","BY,6285LG  ",BY BKR LO SF6 GAS TX1  ,4  ,26,10  ,  ,  ,  ,0
33,"BC,6W13",33,1,"""01007001""","""BC 6W13 TX1 LS BREAKER""",007,3,202,0,1,"""""","""""",30,"""""","""""","""""","""""","""""","BC,6W13    ",BC 6W13 TX1 LS BREAKER  ,3  ,1,7  ,  ,  ,  ,0
34,"DI,T2F1AC",34,1,"""01001001""","""DI TX2 STG1 FANS LOSS AC""",001,3,205,0,1,"""""","""""",31,"""""","""""","""""","""""","""""","DI,T2F1AC  ",DI TX2 STG1 FANS LOSS AC  ,3  ,4,10  ,  ,  ,  ,0
35,"WB,6144B",35,1,"""01052002""","""W6144 LOW GAS TRIP BLOCK""",052,1,210,0,1,"""""","""""",32,"""""","""""","""""","""""","""""","WB,6144B   ",W6144 LOW GAS TRIP BLOCK  ,1  ,9,1  ,  ,  ,  ,0
36,"BW,2431R3",36,1,"""01015002""","""TX1 REGC STA/CTRL FAIL""",015,4,227,0,1,"""""","""""",33,"""""","""""","""""","""""","""""","BW,2431R3  ",TX1 REGC STA/CTRL FAIL  ,4  ,26,2  ,  ,  ,  ,0
37,"CA,3L11S",37,1,"""01010001""","""3L11S TX1 LBI""",010,5,216,0,1,"""""","""""",34,"""""","""""","""""","""""","""""","CA,3L11S   ",3L11S TX1 LBI  ,5  ,15,2  ,  ,  ,  ,0
38,"BC,6W55",38,1,"""01007002""","""BC 6W55 RD 115KV BKR""",007,3,202,0,1,"""""","""""",35,"""""","""""","""""","""""","""""","BC,6W55    ",BC 6W55 RD 115KV BKR  ,3  ,1,6  ,  ,  ,  ,0
39,"LA,1",39,2,"""01012001""","""LA FEEDER BKR 1""",012,4,202,0,1,"""""","""""",13,"""""","""""","""""","""""","""""","LA,1       ",LA FEEDER BKR 1  ,4  ,1,0  ,21  ,0  ,21  ,0
40,"LA,1R",40,2,"""01012002""","""LA BKR 1 RECLOSER""",012,4,205,0,1,"""""","""""",14,"""""","""""","""""","""""","""""","LA,1R      ",LA BKR 1 RECLOSER  ,4  ,4,0  ,22  ,0  ,22  ,0
41,"LA,1GT",41,2,"""01012003""","""LA BKR 1 GRND TRIP BLK""",012,4,222,0,1,"""""","""""",15,"""""","""""","""""","""""","""""","LA,1GT     ",LA BKR 1 GRND TRIP BLK  ,4  ,21,0  ,23  ,0  ,23  ,0
42,"LA,1LR",42,1,"""01012004""","""LA BKR 1 LOC/REM SW""",012,4,214,0,1,"""""","""""",17,"""""","""""","""""","""""","""""","LA,1LR     ",LA BKR 1 LOC/REM SW  ,4  ,13,0  ,  ,  ,  ,0
43,"LA,2",43,2,"""01012005""","""LA FEEDER BKR 2""",012,4,202,0,1,"""""","""""",36,"""""","""""","""""","""""","""""","LA,2       ",LA FEEDER BKR 2  ,4  ,1,0  ,25  ,0  ,25  ,0
44,"LA,2R",44,2,"""01012006""","""LA BKR 2 RECLOSER""",012,4,205,0,1,"""""","""""",37,"""""","""""","""""","""""","""""","LA,2R      ",LA BKR 2 RECLOSER  ,4  ,4,0  ,26  ,0  ,26  ,0
45,"LA,2GT",45,2,"""01012007""","""LA BKR 2 GRND TRIP BLK""",012,4,222,0,1,"""""","""""",38,"""""","""""","""""","""""","""""","LA,2GT     ",LA BKR 2 GRND TRIP BLK  ,4  ,21,0  ,27  ,0  ,27  ,0
46,"LA,2LR",46,1,"""01012008""","""LA BKR 2 LOC/REM SW""",012,4,214,0,1,"""""","""""",39,"""""","""""","""""","""""","""""","LA,2LR     ",LA BKR 2 LOC/REM SW  ,4  ,13,0  ,  ,  ,  ,0
47,"LA,3",47,2,"""01012009""","""LAKE ASBURY BKR 3""",012,4,202,0,1,"""""","""""",40,"""""","""""","""""","""""","""""","LA,3       ",LAKE ASBURY BKR 3  ,4  ,1,0  ,29  ,0  ,29  ,0
48,"LA,3R",48,2,"""01012010""","""LAKE ASBURY BKR 3 RECL""",012,4,205,0,1,"""""","""""",41,"""""","""""","""""","""""","""""","LA,3R      ",LAKE ASBURY BKR 3 RECL  ,4  ,4,0  ,30  ,0  ,30  ,0
49,"LA,3GT",49,2,"""01012011""","""LA BKR 3 GRND TRIP BLK""",012,4,222,0,1,"""""","""""",42,"""""","""""","""""","""""","""""","LA,3GT     ",LA BKR 3 GRND TRIP BLK  ,4  ,21,0  ,31  ,0  ,31  ,0
50,"LA,3LR",50,1,"""01012012""","""LA BKR 3 LOC/REM SW""",012,4,214,0,1,"""""","""""",8,"""""","""""","""""","""""","""""","LA,3LR     ",LA BKR 3 LOC/REM SW  ,4  ,13,0  ,  ,  ,  ,0
