record,name_to_match,OrderNo,Type,Key,Name,Stn,AOR,pState,Norm,AlarmGroup,ICAddress,FeedbackKey,pDeviceInstance,pCtrlState,pScale,HiControlLimit,LoControlLimit,Setpoint_emulation,Name_Status_Source  ,Desc  ,Zones  ,PreSuffx  ,Telem_A  ,Open_A  ,Open_B  ,Close_A  ,Normal_State  
1936,"LY,4BF",1936,1,"""01042055""","""LY 4 BKR FAIL""",042,7,220,0,1,"""""","""""",85,"""""","""""","""""","""""","""""","LY,4BF     ",LY 4 BKR FAIL  ,7  ,19,3  ,  ,  ,  ,0
1937,"LY,5BF",1937,1,"""01042056""","""LY 5 BKR FAIL""",042,7,220,0,1,"""""","""""",378,"""""","""""","""""","""""","""""","LY,5BF     ",LY 5 BKR FAIL  ,7  ,19,3  ,  ,  ,  ,0
1938,"PS,S6G300",1938,5,"""02055041""","""SB PSEUDO SWITCH""",055,1,216,0,1,"""""","""""",1155,"""""","""""","""""","""""","""""","PS,S6G300  ",SB PSEUDO SWITCH  ,1  ,15,  ,  ,  ,  ,0
1939,"PS,S6G102",1939,5,"""02055042""","""SB PSEUDO SWITCH""",055,1,216,0,1,"""""","""""",1156,"""""","""""","""""","""""","""""","PS,S6G102  ",SB PSEUDO SWITCH  ,1  ,15,  ,  ,  ,  ,0
1940,"PS,S8J138",1940,5,"""02055043""","""SB PSEUDO SWITCH""",055,1,216,0,1,"""""","""""",1157,"""""","""""","""""","""""","""""","PS,S8J138  ",SB PSEUDO SWITCH  ,1  ,15,  ,  ,  ,  ,0
1941,"GP,BATGND",1941,1,"""01028038""","""BATT GROUND""",028,6,227,0,1,"""""","""""",335,"""""","""""","""""","""""","""""","GP,BATGND  ",BATT GROUND  ,6  ,26,6  ,  ,  ,  ,0
1942,"PS,BR3172",1942,8,"""12029009""","""PSEUDO SWITCH""",029,10,216,0,1,"""""","""""",1158,"""""","""""","""""","""""","""""","PS,BR3172  ",PSEUDO SWITCH  ,1 2 3 4 5 6 7 8  ,15,  ,  ,  ,  ,0
1943,"PS,BR3175",1943,8,"""12029010""","""PSEUDO SWITCH""",029,10,216,0,1,"""""","""""",1159,"""""","""""","""""","""""","""""","PS,BR3175  ",PSEUDO SWITCH  ,1 2 3 4 5 6 7 8  ,15,  ,  ,  ,  ,0
1944,"PS,BR3176",1944,8,"""12029011""","""PSEUDO SWITCH""",029,10,216,0,1,"""""","""""",1160,"""""","""""","""""","""""","""""","PS,BR3176  ",PSEUDO SWITCH  ,1 2 3 4 5 6 7 8  ,15,  ,  ,  ,  ,0
1945,"PS,BR3173",1945,8,"""12029012""","""PSEUDO SWITCH""",029,10,216,0,1,"""""","""""",1161,"""""","""""","""""","""""","""""","PS,BR3173  ",PSEUDO SWITCH  ,1 2 3 4 5 6 7 8  ,15,  ,  ,  ,  ,0
1946,"PS,BR3170",1946,8,"""12029013""","""PSEUDO SWITCH""",029,10,216,0,1,"""""","""""",1162,"""""","""""","""""","""""","""""","PS,BR3170  ",PSEUDO SWITCH  ,1 2 3 4 5 6 7 8  ,15,  ,  ,  ,  ,0
1947,"PS,BR3171",1947,8,"""12029014""","""PSEUDO SWITCH""",029,10,216,0,1,"""""","""""",1163,"""""","""""","""""","""""","""""","PS,BR3171  ",PSEUDO SWITCH  ,1 2 3 4 5 6 7 8  ,15,  ,  ,  ,  ,0
1948,"PS,BR3174",1948,8,"""12029015""","""PSEUDO SWITCH""",029,10,216,0,1,"""""","""""",1164,"""""","""""","""""","""""","""""","PS,BR3174  ",PSEUDO SWITCH  ,1 2 3 4 5 6 7 8  ,15,  ,  ,  ,  ,0
1949,"PS,BR3177",1949,8,"""12029016""","""PSEUDO SWITCH""",029,10,216,0,1,"""""","""""",1165,"""""","""""","""""","""""","""""","PS,BR3177  ",PSEUDO SWITCH  ,1 2 3 4 5 6 7 8  ,15,  ,  ,  ,  ,0
1950,"PS,CMSQ20",1950,5,"""02055044""","""START WO GEN STD-BY""",055,10,231,0,1,"""""","""""",1166,"""""","""""","""""","""""","""""","PS,CMSQ20  ",START WO GEN STD-BY  ,1 2 3 4 5 6 7 8  ,30,  ,  ,  ,  ,0
1951,"PS,CMSQ17",1951,5,"""02055045""","""STOP  DS GENERATORS""",055,10,231,0,1,"""""","""""",1167,"""""","""""","""""","""""","""""","PS,CMSQ17  ",STOP  DS GENERATORS  ,1 2 3 4 5 6 7 8  ,30,  ,  ,  ,  ,0
1952,"MI,5BF",1952,1,"""01011075""","""MI BKR 5 BKR FAIL""",011,3,220,0,1,"""""","""""",378,"""""","""""","""""","""""","""""","MI,5BF     ",MI BKR 5 BKR FAIL  ,3  ,19,6  ,  ,  ,  ,0
1953,"SA,T1PR",1953,1,"""01056033""","""SA TX1 TANK PRES RELIEF""",056,6,211,0,1,"""""","""""",82,"""""","""""","""""","""""","""""","SA,T1PR    ",SA TX1 TANK PRES RELIEF  ,6  ,10,3  ,  ,  ,  ,0
1954,"PS,S8G104",1954,5,"""02055046""","""SB PSEUDO SWITCH""",055,1,216,0,1,"""""","""""",1168,"""""","""""","""""","""""","""""","PS,S8G104  ",SB PSEUDO SWITCH  ,1  ,15,  ,  ,  ,  ,0
1955,"PS,S8G115",1955,5,"""02055047""","""SB PSEUDO SWITCH""",055,1,216,0,1,"""""","""""",1169,"""""","""""","""""","""""","""""","PS,S8G115  ",SB PSEUDO SWITCH  ,1  ,15,  ,  ,  ,  ,0
1956,"LA,3BF",1956,1,"""01012059""","""LA 3 BKR FAIL""",012,4,220,0,1,"""""","""""",159,"""""","""""","""""","""""","""""","LA,3BF     ",LA 3 BKR FAIL  ,4  ,19,5  ,  ,  ,  ,0
1957,"LY,TX1LO",1957,1,"""01042057""","""LY TX1 TANK LO OIL""",042,7,210,0,1,"""""","""""",83,"""""","""""","""""","""""","""""","LY,TX1LO   ",LY TX1 TANK LO OIL  ,7  ,9,4  ,  ,  ,  ,0
1958,"LY,LTC1LO",1958,1,"""01042058""","""LY LTC1 TANK LO OIL""",042,7,210,0,1,"""""","""""",399,"""""","""""","""""","""""","""""","LY,LTC1LO  ",LY LTC1 TANK LO OIL  ,7  ,9,4  ,  ,  ,  ,0
1959,"GC,25SC1",1959,1,"""01022031""","""GC TX 2505-1 SELF CHECK""",022,4,227,0,1,"""""","""""",48,"""""","""""","""""","""""","""""","GC,25SC1   ",GC TX 2505-1 SELF CHECK  ,4  ,26,0  ,  ,  ,  ,0
1960,"BR,35C128",1960,1,"""01029015""","""BR TX1 2411 FUTURE COMM""",029,5,227,0,1,"""""","""""",942,"""""","""""","""""","""""","""""","BR,35C128  ",BR TX1 2411 FUTURE COMM  ,5  ,26,1  ,  ,  ,  ,0
1961,"BW,86T1",1961,1,"""01015022""","""BW TX1 86T LOCKOUT""",015,4,215,0,1,"""""","""""",68,"""""","""""","""""","""""","""""","BW,86T1    ",BW TX1 86T LOCKOUT  ,4  ,14,0  ,  ,  ,  ,0
1962,"LA,2BF",1962,1,"""01012060""","""LA 2 BKR FAIL""",012,4,220,0,1,"""""","""""",10,"""""","""""","""""","""""","""""","LA,2BF     ",LA 2 BKR FAIL  ,4  ,19,5  ,  ,  ,  ,0
1963,"LY,TC1PWR",1963,1,"""01042059""","""LY LTC1 LOSS OF POWER""",042,7,205,0,1,"""""","""""",251,"""""","""""","""""","""""","""""","LY,TC1PWR  ",LY LTC1 LOSS OF POWER  ,7  ,4,4  ,  ,  ,  ,0
1964,"PS,S8G202",1964,5,"""02055048""","""SB PSEUDO SWITCH""",055,1,216,0,1,"""""","""""",1170,"""""","""""","""""","""""","""""","PS,S8G202  ",SB PSEUDO SWITCH  ,1  ,15,  ,  ,  ,  ,0
1965,"PS,FM3DIS",1965,5,"""02009001""","""614610D50,51,52""",009,10,216,0,1,"""""","""""",1171,"""""","""""","""""","""""","""""","PS,FM3DIS  ","614610D50,51,52  ",1 2 3 4 5 6 7 8  ,15,  ,  ,  ,  ,0
1966,"BW,1R",1966,2,"""01015023""","""BW BKR 1 RECLOSER""",015,4,205,0,1,"""""","""""",14,"""""","""""","""""","""""","""""","BW,1R      ",BW BKR 1 RECLOSER  ,4  ,4,0  ,2  ,0  ,2  ,0
1967,"BW,1GT",1967,2,"""01015024""","""BW BKR 1 GRND TRIP""",015,4,222,0,1,"""""","""""",15,"""""","""""","""""","""""","""""","BW,1GT     ",BW BKR 1 GRND TRIP  ,4  ,21,0  ,3  ,0  ,3  ,0
1968,"BN,1BF",1968,1,"""01039003""","""BN BKR 1 FAIL""",039,3,220,0,1,"""""","""""",158,"""""","""""","""""","""""","""""","BN,1BF     ",BN BKR 1 FAIL  ,3  ,19,5  ,  ,  ,  ,0
1969,"GP,K2REGA",1969,2,"""01028039""","""REG A VOLT CONTROL K2""",028,6,218,0,1,"""""","""""",1118,"""""","""""","""""","""""","""""","GP,K2REGA  ",REG A VOLT CONTROL K2  ,6  ,17,5  ,13  ,0  ,13  ,0
1970,"GC,6264S",1970,1,"""01022032""","""GC 115KV TRANS SWITCH""",022,4,227,0,1,"""""","""""",1172,"""""","""""","""""","""""","""""","GC,6264S   ",GC 115KV TRANS SWITCH  ,4  ,26,0  ,  ,  ,  ,0
1971,"LY,T1FAN2",1971,2,"""01042060""","""LY TX1 STAGE 2 FANS""",042,7,218,0,1,"""""","""""",157,"""""","""""","""""","""""","""""","LY,T1FAN2  ",LY TX1 STAGE 2 FANS  ,7  ,17,4  ,22  ,0  ,22  ,0
1972,"GP,86BCM2",1972,1,"""01028040""","""W32 86B-2 TRIP-COIL MON""",028,6,227,0,1,"""""","""""",1173,"""""","""""","""""","""""","""""","GP,86BCM2  ",W32 86B-2 TRIP-COIL MON  ,6  ,26,0  ,  ,  ,  ,0
1973,"GP,HTHI",1973,1,"""01028041""","""HOUSE TEMP HIGH""",028,6,209,0,1,"""""","""""",1174,"""""","""""","""""","""""","""""","GP,HTHI    ",HOUSE TEMP HIGH  ,6  ,8,6  ,  ,  ,  ,0
1974,"PS,KH3SV1",1974,8,"""12038002""","""PSEUDO SWITCH""",038,10,216,0,1,"""""","""""",1175,"""""","""""","""""","""""","""""","PS,KH3SV1  ",PSEUDO SWITCH  ,1 2 3 4 5 6 7 8  ,15,  ,  ,  ,  ,0
1975,"PS,KH3P12",1975,8,"""12038003""","""PSEUDO SWITCH""",038,10,216,0,1,"""""","""""",1176,"""""","""""","""""","""""","""""","PS,KH3P12  ",PSEUDO SWITCH  ,1 2 3 4 5 6 7 8  ,15,  ,  ,  ,  ,0
1976,"PS,KH3P11",1976,8,"""12038004""","""PSEUDO SWITCH""",038,10,216,0,1,"""""","""""",1177,"""""","""""","""""","""""","""""","PS,KH3P11  ",PSEUDO SWITCH  ,1 2 3 4 5 6 7 8  ,15,  ,  ,  ,  ,0
1977,"PS,KH3M14",1977,8,"""12038005""","""PSEUDO SWITCH""",038,10,216,0,1,"""""","""""",1178,"""""","""""","""""","""""","""""","PS,KH3M14  ",PSEUDO SWITCH  ,1 2 3 4 5 6 7 8  ,15,  ,  ,  ,  ,0
1978,"PS,KH3M11",1978,8,"""12038006""","""PSEUDO SWITCH""",038,10,216,0,1,"""""","""""",1179,"""""","""""","""""","""""","""""","PS,KH3M11  ",PSEUDO SWITCH  ,1 2 3 4 5 6 7 8  ,15,  ,  ,  ,  ,0
1979,"PS,KH3M12",1979,8,"""12038007""","""PSEUDO SWITCH""",038,10,216,0,1,"""""","""""",1180,"""""","""""","""""","""""","""""","PS,KH3M12  ",PSEUDO SWITCH  ,1 2 3 4 5 6 7 8  ,15,  ,  ,  ,  ,0
1980,"PS,KH3111",1980,8,"""12038008""","""PSEUDO SWITCH""",038,10,216,0,1,"""""","""""",1181,"""""","""""","""""","""""","""""","PS,KH3111  ",PSEUDO SWITCH  ,1 2 3 4 5 6 7 8  ,15,  ,  ,  ,  ,0
1981,"PS,KH3112",1981,8,"""12038009""","""PSEUDO SWITCH""",038,10,216,0,1,"""""","""""",1182,"""""","""""","""""","""""","""""","PS,KH3112  ",PSEUDO SWITCH  ,1 2 3 4 5 6 7 8  ,15,  ,  ,  ,  ,0
1982,"PS,KH3113",1982,8,"""12038010""","""PSEUDO SWITCH""",038,10,216,0,1,"""""","""""",1183,"""""","""""","""""","""""","""""","PS,KH3113  ",PSEUDO SWITCH  ,1 2 3 4 5 6 7 8  ,15,  ,  ,  ,  ,0
1983,"PS,KH3121",1983,8,"""12038011""","""PSEUDO SWITCH""",038,10,216,0,1,"""""","""""",1184,"""""","""""","""""","""""","""""","PS,KH3121  ",PSEUDO SWITCH  ,1 2 3 4 5 6 7 8  ,15,  ,  ,  ,  ,0
1984,"PS,S8G283",1984,5,"""02055049""","""SB PSEUDO SWITCH""",055,1,216,0,1,"""""","""""",1185,"""""","""""","""""","""""","""""","PS,S8G283  ",SB PSEUDO SWITCH  ,1  ,15,  ,  ,  ,  ,0
1985,"BW,1BF",1985,1,"""01015025""","""BW BKR 1 BREAKER FAIL""",015,4,220,0,1,"""""","""""",158,"""""","""""","""""","""""","""""","BW,1BF     ",BW BKR 1 BREAKER FAIL  ,4  ,19,0  ,  ,  ,  ,0
1986,"PS,KH3T12",1986,8,"""12038012""","""PSEUDO SWITCH""",038,10,216,0,1,"""""","""""",1186,"""""","""""","""""","""""","""""","PS,KH3T12  ",PSEUDO SWITCH  ,1 2 3 4 5 6 7 8  ,15,  ,  ,  ,  ,0
1987,"PS,KH3T21",1987,8,"""12038013""","""PSEUDO SWITCH""",038,10,216,0,1,"""""","""""",1187,"""""","""""","""""","""""","""""","PS,KH3T21  ",PSEUDO SWITCH  ,1 2 3 4 5 6 7 8  ,15,  ,  ,  ,  ,0
1988,"PS,KH3X12",1988,8,"""12038014""","""PSEUDO SWITCH""",038,10,216,0,1,"""""","""""",1188,"""""","""""","""""","""""","""""","PS,KH3X12  ",PSEUDO SWITCH  ,1 2 3 4 5 6 7 8  ,15,  ,  ,  ,  ,0
1989,"PS,KH3231",1989,8,"""12038015""","""PSEUDO SWITCH""",038,10,216,0,1,"""""","""""",1189,"""""","""""","""""","""""","""""","PS,KH3231  ",PSEUDO SWITCH  ,1 2 3 4 5 6 7 8  ,15,  ,  ,  ,  ,0
1990,"PS,KH3232",1990,8,"""12038016""","""PSEUDO SWITCH""",038,10,216,0,1,"""""","""""",1190,"""""","""""","""""","""""","""""","PS,KH3232  ",PSEUDO SWITCH  ,1 2 3 4 5 6 7 8  ,15,  ,  ,  ,  ,0
1991,"PS,KH3233",1991,8,"""12038017""","""PSEUDO SWITCH""",038,10,216,0,1,"""""","""""",1191,"""""","""""","""""","""""","""""","PS,KH3233  ",PSEUDO SWITCH  ,1 2 3 4 5 6 7 8  ,15,  ,  ,  ,  ,0
1992,"PS,KH3241",1992,8,"""12038018""","""PSEUDO SWITCH""",038,10,216,0,1,"""""","""""",1192,"""""","""""","""""","""""","""""","PS,KH3241  ",PSEUDO SWITCH  ,1 2 3 4 5 6 7 8  ,15,  ,  ,  ,  ,0
1993,"PS,KH3242",1993,8,"""12038019""","""PSEUDO SWITCH""",038,10,216,0,1,"""""","""""",1193,"""""","""""","""""","""""","""""","PS,KH3242  ",PSEUDO SWITCH  ,1 2 3 4 5 6 7 8  ,15,  ,  ,  ,  ,0
1994,"PS,KH3243",1994,8,"""12038020""","""PSEUDO SWITCH""",038,10,216,0,1,"""""","""""",1194,"""""","""""","""""","""""","""""","PS,KH3243  ",PSEUDO SWITCH  ,1 2 3 4 5 6 7 8  ,15,  ,  ,  ,  ,0
1995,"PS,KH3122",1995,8,"""12038021""","""PSEUDO SWITCH""",038,10,216,0,1,"""""","""""",1195,"""""","""""","""""","""""","""""","PS,KH3122  ",PSEUDO SWITCH  ,1 2 3 4 5 6 7 8  ,15,  ,  ,  ,  ,0
1996,"PS,KH3123",1996,8,"""12038022""","""PSEUDO SWITCH""",038,10,216,0,1,"""""","""""",1196,"""""","""""","""""","""""","""""","PS,KH3123  ",PSEUDO SWITCH  ,1 2 3 4 5 6 7 8  ,15,  ,  ,  ,  ,0
1997,"AB,MAS",1997,1,"""01005004""","""FUTURE""",005,7,205,0,1,"""""","""""",225,"""""","""""","""""","""""","""""","AB,MAS     ",FUTURE  ,7  ,4,0  ,  ,  ,  ,0
1998,"PS,S8G136",1998,5,"""02055050""","""SB PSEUDO SWITCH""",055,1,216,0,1,"""""","""""",1197,"""""","""""","""""","""""","""""","PS,S8G136  ",SB PSEUDO SWITCH  ,1  ,15,  ,  ,  ,  ,0
1999,"HL,TX1LO",1999,1,"""01070019""","""HL TX1 TANK LO OIL""",070,5,210,0,1,"""""","""""",83,"""""","""""","""""","""""","""""","HL,TX1LO   ",HL TX1 TANK LO OIL  ,5  ,9,6  ,  ,  ,  ,0
2000,"HL,T1FAN2",2000,2,"""01070020""","""HL TX1 STG2 FANS""",070,5,218,0,1,"""""","""""",157,"""""","""""","""""","""""","""""","HL,T1FAN2  ",HL TX1 STG2 FANS  ,5  ,17,6  ,11  ,0  ,11  ,0
2001,"PS,CMSQ73",2001,5,"""02055051""","""RUN ALL VR2""",055,10,231,0,1,"""""","""""",1198,"""""","""""","""""","""""","""""","PS,CMSQ73  ",RUN ALL VR2  ,1 2 3 4 5 6 7 8  ,30,  ,  ,  ,  ,0
2002,"PS,CMSQ75",2002,5,"""02055052""","""""",055,10,231,0,1,"""""","""""",1199,"""""","""""","""""","""""","""""","PS,CMSQ75  ",  ,1 2 3 4 5 6 7 8  ,30,  ,  ,  ,  ,0
2003,"PS,CMSQ74",2003,5,"""02055053""","""RUN ALL VR2""",055,10,231,0,1,"""""","""""",1200,"""""","""""","""""","""""","""""","PS,CMSQ74  ",RUN ALL VR2  ,1 2 3 4 5 6 7 8  ,30,  ,  ,  ,  ,0
2004,"BR,TCP1",2004,1,"""01029016""","""BR LTC1 OFF TAP""",029,5,223,0,1,"""""","""""",596,"""""","""""","""""","""""","""""","BR,TCP1    ",BR LTC1 OFF TAP  ,5  ,22,4  ,  ,  ,  ,0
2005,"AL,T1PR",2005,1,"""01017014""","""TX1 TANK PRESSURE RELIEF""",017,5,211,0,1,"""""","""""",82,"""""","""""","""""","""""","""""","AL,T1PR    ",TX1 TANK PRESSURE RELIEF  ,5  ,10,7  ,  ,  ,  ,0
2006,"NR,35CP23",2006,1,"""01051005""","""487B CP23 (MBIT)""",051,3,227,0,1,"""""","""""",858,"""""","""""","""""","""""","""""","NR,35CP23  ",487B CP23 (MBIT)  ,3  ,26,4  ,  ,  ,  ,0
2007,"BR,3GT",2007,2,"""01029017""","""BR BKR 3 GRND TRIP BLOCK""",029,5,222,0,1,"""""","""""",42,"""""","""""","""""","""""","""""","BR,3GT     ",BR BKR 3 GRND TRIP BLOCK  ,5  ,21,0  ,10  ,0  ,10  ,0
2008,"GP,REGBLR",2008,1,"""01028042""","""REG B LOC/REM""",028,6,214,0,1,"""""","""""",1201,"""""","""""","""""","""""","""""","GP,REGBLR  ",REG B LOC/REM  ,6  ,13,5  ,  ,  ,  ,0
2009,"GP,REGBA",2009,3,"""41028003""","""GP REG B AUTO/MAN""",028,6,221,0,1,"""""","""""",1123,"""""","""""","""""","""""","""""","GP,REGBA   ",GP REG B AUTO/MAN  ,6  ,20,5  ,17  ,0  ,17  ,0
2010,"SA,T1NBLO",2010,1,"""01056034""","""TX1 NITRO CYL LOW PRES""",056,6,210,0,1,"""""","""""",1202,"""""","""""","""""","""""","""""","SA,T1NBLO  ",TX1 NITRO CYL LOW PRES  ,6  ,9,3  ,  ,  ,  ,0
2011,"GP,HTLO",2011,1,"""01028043""","""HOUSE TEMP LOW""",028,6,210,0,1,"""""","""""",1203,"""""","""""","""""","""""","""""","GP,HTLO    ",HOUSE TEMP LOW  ,6  ,9,6  ,  ,  ,  ,0
2012,"PS,S8G140",2012,5,"""02055054""","""SB PSEUDO SWITCH""",055,1,216,0,1,"""""","""""",1204,"""""","""""","""""","""""","""""","PS,S8G140  ",SB PSEUDO SWITCH  ,1  ,15,  ,  ,  ,  ,0
2013,"PS,S6G145",2013,5,"""02055055""","""SB PSEUDO SWITCH""",055,1,216,0,1,"""""","""""",1205,"""""","""""","""""","""""","""""","PS,S6G145  ",SB PSEUDO SWITCH  ,1  ,15,  ,  ,  ,  ,0
2014,"KH,T1GMFG",2014,1,"""01038010""","""TANK DGA FAULT GAS""",038,10,227,0,1,"""""","""""",309,"""""","""""","""""","""""","""""","KH,T1GMFG  ",TANK DGA FAULT GAS  ,1 2 3 4 5 6 7 8  ,26,11  ,  ,  ,  ,0
2015,"KH,T1GMCG",2015,1,"""01038011""","""TANK DGA CARRIER GAS""",038,10,227,0,1,"""""","""""",312,"""""","""""","""""","""""","""""","KH,T1GMCG  ",TANK DGA CARRIER GAS  ,1 2 3 4 5 6 7 8  ,26,11  ,  ,  ,  ,0
2016,"KH,T1GCAL",2016,1,"""01038012""","""TANK DGA CALIBRATION GAS""",038,10,227,0,1,"""""","""""",323,"""""","""""","""""","""""","""""","KH,T1GCAL  ",TANK DGA CALIBRATION GAS  ,1 2 3 4 5 6 7 8  ,26,11  ,  ,  ,  ,0
2017,"SPR,D9",2017,5,"""02067025""","""MODEL STATUS""",067,10,218,0,1,"""""","""""",1206,"""""","""""","""""","""""","""""","SPR,D9      ",MODEL STATUS  ,1 2 3 4 5 6 7 8  ,17,  ,  ,  ,  ,0
2018,"FI,3BF",2018,1,"""01019019""","""FI BKR 3 FAIL""",019,3,220,0,1,"""""","""""",159,"""""","""""","""""","""""","""""","FI,3BF     ",FI BKR 3 FAIL  ,3  ,19,15  ,  ,  ,  ,0
2019,"WE,1LR",2019,1,"""01069011""","""WE BKR 1 LOC/REM SW""",069,4,214,0,1,"""""","""""",17,"""""","""""","""""","""""","""""","WE,1LR     ",WE BKR 1 LOC/REM SW  ,4  ,13,0  ,  ,  ,  ,0
2020,"WE,2",2020,2,"""01069012""","""WE FEEDER BKR 2""",069,4,202,0,1,"""""","""""",36,"""""","""""","""""","""""","""""","WE,2       ",WE FEEDER BKR 2  ,4  ,1,0  ,11  ,0  ,11  ,0
2021,"WE,2R",2021,2,"""01069013""","""WE BKR 2 RECLOSER""",069,4,205,0,1,"""""","""""",37,"""""","""""","""""","""""","""""","WE,2R      ",WE BKR 2 RECLOSER  ,4  ,4,0  ,12  ,0  ,12  ,0
2022,"WE,2GT",2022,2,"""01069014""","""WE BKR 2 GRND TRIP BLK""",069,4,222,0,1,"""""","""""",38,"""""","""""","""""","""""","""""","WE,2GT     ",WE BKR 2 GRND TRIP BLK  ,4  ,21,0  ,13  ,0  ,13  ,0
2023,"WE,2LR",2023,1,"""01069015""","""WE BKR 2 LOC/REM SW""",069,4,214,0,1,"""""","""""",39,"""""","""""","""""","""""","""""","WE,2LR     ",WE BKR 2 LOC/REM SW  ,4  ,13,0  ,  ,  ,  ,0
2024,"WE,3",2024,2,"""01069016""","""WE FEEDER BKR 3""",069,4,202,0,1,"""""","""""",40,"""""","""""","""""","""""","""""","WE,3       ",WE FEEDER BKR 3  ,4  ,1,0  ,15  ,0  ,15  ,0
2025,"WE,3R",2025,2,"""01069017""","""WE BKR 3 RECLOSER""",069,4,205,0,1,"""""","""""",41,"""""","""""","""""","""""","""""","WE,3R      ",WE BKR 3 RECLOSER  ,4  ,4,0  ,16  ,0  ,16  ,0
2026,"WE,3GT",2026,2,"""01069018""","""WE BKR 3 GRND TRIP BLK""",069,4,222,0,1,"""""","""""",42,"""""","""""","""""","""""","""""","WE,3GT     ",WE BKR 3 GRND TRIP BLK  ,4  ,21,0  ,17  ,0  ,17  ,0
2027,"WE,3LR",2027,1,"""01069019""","""WE BKR 3 LOC/REM SW""",069,4,214,0,1,"""""","""""",8,"""""","""""","""""","""""","""""","WE,3LR     ",WE BKR 3 LOC/REM SW  ,4  ,13,0  ,  ,  ,  ,0
2028,"WE,4",2028,2,"""01069020""","""WE FEEDER BKR 4""",069,4,202,0,1,"""""","""""",237,"""""","""""","""""","""""","""""","WE,4       ",WE FEEDER BKR 4  ,4  ,1,0  ,35  ,0  ,35  ,0
2029,"WE,4R",2029,2,"""01069021""","""WE BKR 4 RECLOSER""",069,4,205,0,1,"""""","""""",294,"""""","""""","""""","""""","""""","WE,4R      ",WE BKR 4 RECLOSER  ,4  ,4,0  ,36  ,0  ,36  ,0
2030,"WE,4GT",2030,2,"""01069022""","""WE BKR 4 GRND TRIP BLK""",069,4,222,0,1,"""""","""""",74,"""""","""""","""""","""""","""""","WE,4GT     ",WE BKR 4 GRND TRIP BLK  ,4  ,21,0  ,37  ,0  ,37  ,0
2031,"WE,4LR",2031,1,"""01069023""","""WE BKR 4 LOC/REM SW""",069,4,214,0,1,"""""","""""",7,"""""","""""","""""","""""","""""","WE,4LR     ",WE BKR 4 LOC/REM SW  ,4  ,13,0  ,  ,  ,  ,0
2032,"WE,5",2032,2,"""01069024""","""WE FEEDER BKR 5""",069,4,202,0,1,"""""","""""",116,"""""","""""","""""","""""","""""","WE,5       ",WE FEEDER BKR 5  ,4  ,1,1  ,39  ,0  ,39  ,0
2033,"WE,5R",2033,2,"""01069025""","""WE BKR 5 RECLOSER""",069,4,205,0,1,"""""","""""",120,"""""","""""","""""","""""","""""","WE,5R      ",WE BKR 5 RECLOSER  ,4  ,4,1  ,40  ,0  ,40  ,0
2034,"WE,5GT",2034,2,"""01069026""","""WE BKR 5 GRND TRIP BLK""",069,4,222,0,1,"""""","""""",377,"""""","""""","""""","""""","""""","WE,5GT     ",WE BKR 5 GRND TRIP BLK  ,4  ,21,1  ,41  ,0  ,41  ,0
2035,"WE,5LR",2035,1,"""01069027""","""WE BKR 5 LOC/REM SW""",069,4,214,0,1,"""""","""""",123,"""""","""""","""""","""""","""""","WE,5LR     ",WE BKR 5 LOC/REM SW  ,4  ,13,1  ,  ,  ,  ,0
2036,"WE,6",2036,2,"""01069028""","""WE FEEDER BKR 6""",069,4,202,0,1,"""""","""""",448,"""""","""""","""""","""""","""""","WE,6       ",WE FEEDER BKR 6  ,4  ,1,1  ,43  ,0  ,43  ,0
2037,"FB,MAS",2037,1,"""01018008""","""FUTURE""",018,6,205,0,1,"""""","""""",225,"""""","""""","""""","""""","""""","FB,MAS     ",FUTURE  ,6  ,4,0  ,  ,  ,  ,0
2038,"BW,1LR",2038,1,"""01015026""","""BW BKR 1 LOC/REMOTE SW""",015,4,214,0,1,"""""","""""",17,"""""","""""","""""","""""","""""","BW,1LR     ",BW BKR 1 LOC/REMOTE SW  ,4  ,13,0  ,  ,  ,  ,0
2039,"WE,6R",2039,1,"""01069029""","""WE BKR 6 RECLOSER""",069,4,205,0,1,"""""","""""",449,"""""","""""","""""","""""","""""","WE,6R      ",WE BKR 6 RECLOSER  ,4  ,4,1  ,  ,  ,  ,0
2040,"PS,CMSQ18",2040,5,"""02055056""","""START FPL GENERATORS""",055,10,231,0,1,"""""","""""",1207,"""""","""""","""""","""""","""""","PS,CMSQ18  ",START FPL GENERATORS  ,1 2 3 4 5 6 7 8  ,30,  ,  ,  ,  ,0
2041,"SG,35CP25",2041,1,"""01008015""","""TX 2505-3 CPORT25 (MBIT)""",008,10,227,0,1,"""""","""""",1116,"""""","""""","""""","""""","""""","SG,35CP25  ",TX 2505-3 CPORT25 (MBIT)  ,1 2 3 4 5 6 7 8  ,26,4  ,  ,  ,  ,0
2042,"PS,TU323",2042,8,"""12055036""","""PSEUDO SWITCH""",055,6,216,0,1,"""""","""""",1208,"""""","""""","""""","""""","""""","PS,TU323   ",PSEUDO SWITCH  ,6  ,15,  ,  ,  ,  ,0
2043,"PS,S6G188",2043,5,"""02055057""","""SB PSEUDO SWITCH""",055,1,216,0,1,"""""","""""",1209,"""""","""""","""""","""""","""""","PS,S6G188  ",SB PSEUDO SWITCH  ,1  ,15,  ,  ,  ,  ,0
