Point ID,Station,Pnuemonic,Description,COM,RTU,Pg,Status P,Analog P,Relay P,Value,Scale,Type,Helper Column,IP Address,DNPAddress,DNP Point,,
32663,DB,86TCM1,DB TX1 86T LCKOUT TCM,3,7,1,7,,,,,STATUS,DB86TCM1STATUS,172.17.4.81,1,196,,
32664,DB,94TCM1,DB TX1 94T TCM,3,7,1,8,,,,,STATUS,DB94TCM1STATUS,172.17.4.81,1,201,,
32768,DB,T1HIAL,DB TX1 CRIT HI TEMP,3,7,1,9,,,,,STATUS,DBT1HIALSTATUS,172.17.4.81,1,56,,
32666,DB,35C106,DB TX1 387E ALARM COM,3,7,1,10,,,,,STATUS,DB35C106STATUS,172.17.4.81,1,119,,
32668,DB,BATTDC,DB BATT DC VOLT ALARM 1,3,7,1,11,,,,,STATUS,DBBATTDCSTATUS,172.17.4.81,1,218,,
32669,DB,BATGRD,DB BATT GROUND ALARM,3,7,1,12,,,,,STATUS,DBBATGRDSTATUS,172.17.4.81,1,220,,
32670,DB,BATFAN,DB CTRL HSE EXHAUST FAN,3,7,1,13,,,,,STATUS,DBBATFANSTATUS,172.17.4.81,1,215,,
32671,DB,SMOKE,DB CTRL HSE SMOKE ALARM,3,7,1,14,,,,,STATUS,DBSMOKESTATUS,172.17.4.81,1,217,,
06915,DB,RBV1,DB TX1 REG B VOLTS,3,7,,,1,,,0.1,ANALOG,DBRBV1ANALOG,172.17.4.81,1,25,,
06911,DB,P2,DB PULSE ACCUMULATOR 2,3,7,,,,,,4.8,PULSE,DBP2PULSE,#N/A,1,#N/A,,
32673,DB,24T1SC,DB TX1 2411 FAIL,3,7,2,0,,,,,STATUS,DB24T1SCSTATUS,172.17.4.81,1,184,,
32674,DB,TX1TOT,DB TX1 HOT OIL TEMP,3,7,2,1,,,,,STATUS,DBTX1TOTSTATUS,172.17.4.81,1,49,,
32675,DB,TX1HS,DB TX1 HOT SPOT,3,7,2,2,,,,,STATUS,DBTX1HSSTATUS,172.17.4.81,1,50,,
32676,DB,TX1LR,DB TX1 LOC/REM SW,3,7,2,3,,,,,STATUS,DBTX1LRSTATUS,172.17.4.81,1,51,,
32677,DB,TX1K1,DB TX1 VOLT CTRL K1,3,7,2,4,,,,,STATUS,DBTX1K1STATUS,172.17.4.81,1,52,,
32677,DB,TX1K1,TX1 VOLT CTRL K1 ON,3,7,,,,13,1,,RELAY,DBTX1K1RELAY,172.17.4.81,1,9,,
32677,DB,TX1K1,TX1 VOLT CTRL K1 OFF,3,7,,,,13,0,,RELAY,DBTX1K1RELAY,172.17.4.81,1,9,,
32678,DB,TX1K2,DB TX1 VOLT CTRL K2,3,7,2,5,,,,,STATUS,DBTX1K2STATUS,172.17.4.81,1,53,,
32678,DB,TX1K2,TX1 VOLT CTRL K2 ON,3,7,,,,14,1,,RELAY,DBTX1K2RELAY,172.17.4.81,1,10,,
32678,DB,TX1K2,TX1 VOLT CTRL K2 OFF,3,7,,,,14,0,,RELAY,DBTX1K2RELAY,172.17.4.81,1,10,,
32679,DB,TCA1,DB LTC1 AUTO/MAN,3,7,2,6,,,,,STATUS,DBTCA1STATUS,172.17.4.81,1,54,,
32679,DB,TCA1,LTC1 MANUAL,3,7,,,,15,1,,RELAY,DBTCA1RELAY,172.17.4.81,1,8,,
32679,DB,TCA1,LTC1 AUTO,3,7,,,,15,0,,RELAY,DBTCA1RELAY,172.17.4.81,1,8,,
38200,DB,TX3DRD,DB TX3 DIFF PROT DISABLE,3,7,2,7,,,,,STATUS,DBTX3DRDSTATUS,172.17.4.83,1,198,,
32680,DB,S618_OP,DB S618 MOSW 1 ,3,7,2,8,,,,,STATUS,DBS618_OPSTATUS,172.17.4.81,1,221,,
32680,DB,S618_CL,DB S618 MOSW 1,3,7,2,8,,,,,STATUS,DBS618_CLSTATUS,172.17.4.81,1,222,,
32680,DB,S618,S618 MOD 1 TRIP,3,7,,,,16,1,,RELAY,DBS618RELAY,172.17.4.81,1,39,,
32680,DB,S618,S618 MOD 1 CLOSE,3,7,,,,16,0,,RELAY,DBS618RELAY,172.17.4.81,1,39,,
