Name  ,Desc  ,Zones  ,PType  ,DevClass  ,PreSuffx  ,Telem_CL  ,Telem_RTU  ,Telem_A  ,Telem_B  ,Telem_C  ,Open_CL  ,Open_RTU  ,Open_A  ,Open_B  ,Open_C  ,Open_D  ,Close_CL  ,Close_RTU  ,Close_A  ,Close_B  ,Close_C  ,Close_D  ,StatFmt  ,CntlInt  ,DevTO  ,Sev_State0  ,Sev_State1  ,Sev_State2  ,Sev_State3  ,Vcode_State0  ,Vcode_State1  ,Vcode_State2  ,Vcode_State3  ,Normal_State  ,Dual_Normal  ,Alarm_Task  ,Annc_Delay  ,Alarm_Fmt  ,Meter_PT  
"GC,1GT     ",GC 1 GRND TRIP BLOCK  ,4  ,22  ,2  ,21  ,4  ,39  ,2  ,0  ,2  ,4  ,39  ,20  ,0  ,0  ,1  ,4  ,39  ,21  ,0  ,0  ,1  ,0  ,0  ,10  ,1  ,1  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,0  ,130  ,  
"GC,21CP1   ",GC BKR 1 2100 CPORT 1  ,4  ,22  ,2  ,26  ,4  ,39  ,2  ,0  ,4  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1  ,0  ,0  ,4  ,4  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,60  ,130  ,  
"GC,1LR     ",GC BKR 1 LOC/REM SW  ,4  ,27  ,2  ,13  ,4  ,39  ,2  ,0  ,3  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0  ,0  ,0  ,1  ,1  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,0  ,130  ,  
"GC,351SC1  ",GC BKR 1 351 SELF CHECK  ,4  ,22  ,2  ,26  ,4  ,39  ,3  ,0  ,0  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0  ,0  ,0  ,4  ,4  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,60  ,130  ,  
"GC,32CP1   ",GC BKR 1 2032 CPORT 1  ,4  ,22  ,2  ,26  ,4  ,39  ,3  ,0  ,1  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0  ,0  ,0  ,4  ,4  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,60  ,130  ,  
"PS,BY3P12  ",PSEUDO SWITCH  ,1 2 3 4 5 6 7 8  ,32  ,3  ,15  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,0  ,0  ,  
"PS,S8W151  ",SB PSEUDO BREAKER  ,1  ,32  ,3  ,15  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,0  ,0  ,  
"RS,MET2CP  ",RS TX2 735 MET CPORT8  ,4  ,22  ,2  ,26  ,4  ,57  ,7  ,0  ,14  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0  ,0  ,0  ,1  ,1  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,120  ,130  ,  
"TU,MTXTOT  ",MOBILE TX HOT OIL TEMP  ,3  ,25  ,2  ,8  ,3  ,9  ,0  ,0  ,6  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0  ,0  ,0  ,4  ,4  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,120  ,130  ,  
"TU,MTXHS   ",MOBILE TX HOT SPOT  ,3  ,25  ,2  ,8  ,3  ,9  ,1  ,0  ,2  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0  ,0  ,0  ,1  ,1  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,  ,120  ,130  ,  
