Desc  ,Name_Analog_Source,Zones  ,Alm_preHi  ,Alm_emgHi  ,Alm_unrHi  ,Alm_preLo  ,Alm_emgLo  ,Alm_unrLo  ,EU_Hi  ,EuText  ,record,OrderNo,Type,Key,Name,Stn,AOR,pUNIT,pScale EU_Hi,AlarmGrp,RawCountFormat,"77,4","77,1","77,0","78,0","78,1","78,4","91,1","91,2","91,3","91,4","91,5",ICAddress
LC 4C AMP BKR TRP  ,"LC,4C      ",3  ,410  ,440  ,470  ,-10  ,-20  ,-30  ,599.9958,AMPS  ,757,757,1,"""03023027""","""LC 4C AMP BKR TRP""",023,3,1,599.9958,1,1,470  ,440  ,410  ,-10,-20  ,-30  ,0.0,0.0,0.0,1.0,1.0,
LY TX1 WATTS  ,"LY,TX1W    ",7  ,25000  ,27000  ,30000  ,-10  ,-500  ,-1000  ,49128.0,WATTS  ,758,758,1,"""03042005""","""LY TX1 WATTS""",042,7,3,49128.0,1,1,30000  ,27000  ,25000  ,-10,-500  ,-1000  ,0.0,0.0,0.0,1.0,1.0,
DI REGULATOR STAGE #2  ,"DI,STAGE2  ",1 2 3 4 5 6 7 8  ,  ,  ,  ,  ,  ,  ,1.0,STAGE  ,759,759,2,"""04001003""","""DI REGULATOR STAGE #2""",001,10,11,1.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
LY TX1 REG A VOLTS  ,"LY,RAV1    ",7  ,127.5  ,129  ,150  ,120  ,118.5  ,-10  ,204.7,VOLTS  ,760,760,1,"""03042006""","""LY TX1 REG A VOLTS""",042,7,5,204.7,1,1,150  ,129  ,127.5  ,120,118.5  ,-10  ,0.0,0.0,0.0,1.0,1.0,
LY TX1 REG B VOLTS  ,"LY,RBV1    ",7  ,127.5  ,129  ,150  ,120  ,118.5  ,-10  ,204.7,VOLTS  ,761,761,1,"""03042007""","""LY TX1 REG B VOLTS""",042,7,5,204.7,1,1,150  ,129  ,127.5  ,120,118.5  ,-10  ,0.0,0.0,0.0,1.0,1.0,
LY TX1 REG C VOLTS  ,"LY,RCV1    ",7  ,127.5  ,129  ,150  ,120  ,118.5  ,-10  ,204.7,VOLTS  ,762,762,1,"""03042008""","""LY TX1 REG C VOLTS""",042,7,5,204.7,1,1,150  ,129  ,127.5  ,120,118.5  ,-10  ,0.0,0.0,0.0,1.0,1.0,
LY TX1 LS A AMPS  ,"LY,TX1A    ",7  ,1034  ,1084  ,1122  ,-10  ,-20  ,-30  ,1228.2,AMPS  ,763,763,1,"""03042009""","""LY TX1 LS A AMPS""",042,7,1,1228.2,1,1,1122  ,1084  ,1034  ,-10,-20  ,-30  ,0.0,0.0,0.0,1.0,1.0,
LY TX1 LS B AMPS  ,"LY,TX1B    ",7  ,1034  ,1084  ,1122  ,-10  ,-20  ,-30  ,1228.2,AMPS  ,764,764,1,"""03042010""","""LY TX1 LS B AMPS""",042,7,1,1228.2,1,1,1122  ,1084  ,1034  ,-10,-20  ,-30  ,0.0,0.0,0.0,1.0,1.0,
CHANNEL THREE RETRY COUN  ,"NR,RC      ",3  ,  ,  ,  ,  ,  ,  ,1.0,  ,765,765,2,"""04051005""","""CHANNEL THREE RETRY COUN""",051,3,"""""",1.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
BR VARS LEAD  ,"BR,MV1-    ",5  ,  ,  ,  ,  ,  ,  ,65504.0,VARS  ,766,766,1,"""03029013""","""BR VARS LEAD""",029,5,4,65504.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
BR DC VOLTS  ,"BR,DCV     ",5  ,134.5  ,136.5  ,140  ,128.5  ,126.5  ,-10  ,149.9836,VOLTS  ,767,767,1,"""03029014""","""BR DC VOLTS""",029,5,5,149.9836,1,1,140  ,136.5  ,134.5  ,128.5,126.5  ,-10  ,0.0,0.0,0.0,1.0,1.0,
BR BRK 1 A AMPS BRK TRIP  ,"BR,1A      ",5  ,500  ,550  ,600  ,-10  ,-20  ,-30  ,600.0126,AMPS  ,768,768,1,"""03029015""","""BR BRK 1 A AMPS BRK TRIP""",029,5,1,600.0126,1,1,600  ,550  ,500  ,-10,-20  ,-30  ,0.0,0.0,0.0,1.0,1.0,
BR BRK 1 B AMPS BRK TRIP  ,"BR,1B      ",5  ,500  ,550  ,600  ,-10  ,-20  ,-30  ,600.0126,AMPS  ,769,769,1,"""03029016""","""BR BRK 1 B AMPS BRK TRIP""",029,5,1,600.0126,1,1,600  ,550  ,500  ,-10,-20  ,-30  ,0.0,0.0,0.0,1.0,1.0,
FI TX3 VARS LEAD  ,"FI,MV3-    ",4  ,  ,  ,  ,  ,  ,  ,98256.0,VARS  ,770,770,1,"""03019019""","""FI TX3 VARS LEAD""",019,4,4,98256.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
GC POWER FACTOR METER  ,"GC,PF1M    ",4  ,  ,  ,  ,  ,  ,  ,204.7,PF  ,771,771,1,"""03022006""","""GC POWER FACTOR METER""",022,4,6,204.7,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
RV W 230 VOLTS  ,"SECI,RVWBV   ",1 2  ,  ,  ,  ,  ,  ,  ,3541.31,VARS  ,772,772,1,"""03058031""","""RV W 230 VOLTS""",058,13,4,3541.31,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
  ,"SPR,SOEPT   ",1 2 3 4 5 6 7 8  ,  ,  ,  ,  ,  ,  ,1.0,  ,773,773,2,"""04067029""","""""",067,10,"""""",1.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
BKR 7 C AMP BKR TRIP  ,"RV,7C      ",6  ,452  ,502  ,552  ,-10  ,-20  ,-30  ,600.0001,AMPS  ,774,774,1,"""03031007""","""BKR 7 C AMP BKR TRIP""",031,6,1,600.0001,1,1,552  ,502  ,452  ,-10,-20  ,-30  ,0.0,0.0,0.0,1.0,1.0,
SG ACCUMULATOR (DEF)  ,"SG,P1      ",7  ,  ,  ,  ,1  ,-2  ,-10  ,2.4,WATTS  ,775,775,1,"""03008026""","""SG ACCUMULATOR (DEF)""",008,7,3,2.4,1,1,999999,999996,999995,1,-2  ,-10  ,0.0,0.0,0.0,1.0,1.0,
SG BRK 2 AMP TOTAL  ,"SG,2TOT    ",1 2 3 4 5 6 7 8  ,  ,  ,  ,  ,  ,  ,1.0,AMPS  ,776,776,2,"""04008006""","""SG BRK 2 AMP TOTAL""",008,10,1,1.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
FOR 72 FDR KW  ,"CEC,72MUL   ",1 2 3 4 5 6 7 8  ,  ,  ,  ,  ,  ,  ,1.0,AMPS  ,777,777,2,"""04053011""","""FOR 72 FDR KW""",053,10,1,1.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
MODEL  ,"SPR,SOEPT2  ",1 2 3 4 5 6 7 8  ,  ,  ,  ,  ,  ,  ,1.0,KVA  ,778,778,2,"""04067030""","""MODEL""",067,10,8,1.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
TX1 LD TAP CHGR POS  ,"LC,LTC1    ",3  ,15  ,16  ,16.5  ,-15  ,-16  ,-16.5  ,15.9922,TAP  ,779,779,1,"""03023028""","""TX1 LD TAP CHGR POS""",023,3,9,15.9922,1,1,16.5  ,16  ,15  ,-15,-16  ,-16.5  ,0.0,0.0,0.0,1.0,1.0,
OP MV2 TX2 LAG  ,"SECI,243     ",1 2  ,  ,  ,  ,  ,  ,  ,1.0,VARS  ,780,780,2,"""04058003""","""OP MV2 TX2 LAG""",058,13,4,1.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
FR TX2 REG A VOLTS  ,"FR,RAV2    ",6  ,127.5  ,129  ,150  ,120  ,118.5  ,-10  ,204.7,VOLTS  ,781,781,1,"""03049001""","""FR TX2 REG A VOLTS""",049,6,5,204.7,1,1,150  ,129  ,127.5  ,120,118.5  ,-10  ,0.0,0.0,0.0,1.0,1.0,
  ,"NR,SOEPT   ",1 2 3 4 5 6 7 8  ,  ,  ,  ,  ,  ,  ,1.0,  ,782,782,2,"""04051006""","""""",051,10,"""""",1.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
BC 115 KV WATT TOTAL  ,"BC,115WAT  ",1 2 3 4 5 6 7 8  ,  ,  ,  ,  ,  ,  ,1.0,WATTS  ,783,783,2,"""04007018""","""BC 115 KV WATT TOTAL""",007,10,3,1.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
LY TX1 LS C AMPS  ,"LY,TX1C    ",7  ,1034  ,1084  ,1122  ,-10  ,-20  ,-30  ,1228.2,AMPS  ,784,784,1,"""03042011""","""LY TX1 LS C AMPS""",042,7,1,1228.2,1,1,1122  ,1084  ,1034  ,-10,-20  ,-30  ,0.0,0.0,0.0,1.0,1.0,
BW FDR 4B AMPS  ,"BW,4B      ",4  ,700  ,750  ,800  ,-10  ,-20  ,-30  ,799.9981,AMPS  ,785,785,1,"""03015015""","""BW FDR 4B AMPS""",015,4,1,799.9981,1,1,800  ,750  ,700  ,-10,-20  ,-30  ,0.0,0.0,0.0,1.0,1.0,
CEC SYS WAT TOT NEW  ,"CEC,SYSWTO  ",6  ,  ,  ,  ,  ,  ,  ,1.0,WATTS  ,786,786,2,"""04053012""","""CEC SYS WAT TOT NEW""",053,6,3,1.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
CEC SYS WATT1  ,"CEC,SYSWT1  ",6  ,  ,  ,  ,  ,  ,  ,1.0,WATTS  ,787,787,2,"""04053013""","""CEC SYS WATT1""",053,6,3,1.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
CEC SYS WATT DEF 230  ,"CEC,SYSWT2  ",6  ,  ,  ,  ,  ,  ,  ,1.0,WATTS  ,788,788,2,"""04053014""","""CEC SYS WATT DEF 230""",053,6,3,1.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
GP ACCUMULATOR  ,"GP,P       ",6  ,  ,  ,  ,1  ,-2  ,-4  ,2.656,WATTS  ,789,789,1,"""03028002""","""GP ACCUMULATOR""",028,6,3,2.656,1,1,999999,999996,999995,1,-2  ,-4  ,0.0,0.0,0.0,1.0,1.0,
GP REG A VOLTS /2431  ,"GP,RAV     ",6  ,127.5  ,129  ,150  ,120  ,118.5  ,-10  ,204.7,VOLTS  ,790,790,1,"""03028003""","""GP REG A VOLTS /2431""",028,6,5,204.7,1,1,150  ,129  ,127.5  ,120,118.5  ,-10  ,0.0,0.0,0.0,1.0,1.0,
MI TX1 CURRENT HOUR DMND  ,"MI,CHR1    ",3  ,  ,  ,  ,  ,  ,  ,1.0,KW  ,791,791,2,"""04011003""","""MI TX1 CURRENT HOUR DMND""",011,3,10,1.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
HL TX1 POWER FACTOR  ,"HL,PF1M    ",5  ,  ,  ,  ,  ,  ,  ,204.7,PF  ,792,792,1,"""03070005""","""HL TX1 POWER FACTOR""",070,5,6,204.7,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
TX1 A AMPS  ,"RV,TX1A    ",6  ,1000  ,1100  ,1200  ,-10  ,-20  ,-30  ,1637.6,AMPS  ,793,793,1,"""03031008""","""TX1 A AMPS""",031,6,1,1637.6,1,1,1200  ,1100  ,1000  ,-10,-20  ,-30  ,0.0,0.0,0.0,1.0,1.0,
TX1 B AMPS  ,"RV,TX1B    ",6  ,1000  ,1100  ,1200  ,-10  ,-20  ,-30  ,1637.6,AMPS  ,794,794,1,"""03031009""","""TX1 B AMPS""",031,6,1,1637.6,1,1,1200  ,1100  ,1000  ,-10,-20  ,-30  ,0.0,0.0,0.0,1.0,1.0,
TX1 C AMPS  ,"RV,TX1C    ",6  ,1000  ,1100  ,1200  ,-10  ,-20  ,-30  ,1637.6,AMPS  ,795,795,1,"""03031010""","""TX1 C AMPS""",031,6,1,1637.6,1,1,1200  ,1100  ,1000  ,-10,-20  ,-30  ,0.0,0.0,0.0,1.0,1.0,
BKR 4 A AMP BKR TRIP  ,"RV,4A      ",6  ,452  ,502  ,552  ,-10  ,-20  ,-30  ,600.0001,AMPS  ,796,796,1,"""03031011""","""BKR 4 A AMP BKR TRIP""",031,6,1,600.0001,1,1,552  ,502  ,452  ,-10,-20  ,-30  ,0.0,0.0,0.0,1.0,1.0,
BKR 4 B AMP BKR TRIP  ,"RV,4B      ",6  ,452  ,502  ,552  ,-10  ,-20  ,-30  ,600.0001,AMPS  ,797,797,1,"""03031012""","""BKR 4 B AMP BKR TRIP""",031,6,1,600.0001,1,1,552  ,502  ,452  ,-10,-20  ,-30  ,0.0,0.0,0.0,1.0,1.0,
BKR 4 C AMP BKR TRIP  ,"RV,4C      ",6  ,452  ,502  ,552  ,-10  ,-20  ,-30  ,600.0001,AMPS  ,798,798,1,"""03031013""","""BKR 4 C AMP BKR TRIP""",031,6,1,600.0001,1,1,552  ,502  ,452  ,-10,-20  ,-30  ,0.0,0.0,0.0,1.0,1.0,
FA REG C VOLTS  ,"FA,RCV     ",5  ,127.5  ,128.5  ,150  ,120  ,118.5  ,-10  ,204.7,VOLTS  ,799,799,1,"""03060012""","""FA REG C VOLTS""",060,5,5,204.7,1,1,150  ,128.5  ,127.5  ,120,118.5  ,-10  ,0.0,0.0,0.0,1.0,1.0,
GC FREQUENCY  ,"GC,TX1FRQ  ",4  ,  ,  ,  ,  ,  ,  ,204.7,HZ  ,800,800,1,"""03022007""","""GC FREQUENCY""",022,4,7,204.7,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
GC KVA METER  ,"GC,KVA1M   ",4  ,  ,  ,  ,  ,  ,  ,65504.0,KVA  ,801,801,1,"""03022008""","""GC KVA METER""",022,4,8,65504.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
BKR 1 A AMP BKR TRIP  ,"RV,1A      ",6  ,452  ,502  ,552  ,-10  ,-20  ,-30  ,600.0001,AMPS  ,802,802,1,"""03031014""","""BKR 1 A AMP BKR TRIP""",031,6,1,600.0001,1,1,552  ,502  ,452  ,-10,-20  ,-30  ,0.0,0.0,0.0,1.0,1.0,
BKR 1 B AMP BKR TRIP  ,"RV,1B      ",6  ,452  ,502  ,552  ,-10  ,-20  ,-30  ,600.0001,AMPS  ,803,803,1,"""03031015""","""BKR 1 B AMP BKR TRIP""",031,6,1,600.0001,1,1,552  ,502  ,452  ,-10,-20  ,-30  ,0.0,0.0,0.0,1.0,1.0,
BKR 1 C AMP BKR TRIP  ,"RV,1C      ",6  ,452  ,502  ,552  ,-10  ,-20  ,-30  ,600.0001,AMPS  ,804,804,1,"""03031016""","""BKR 1 C AMP BKR TRIP""",031,6,1,600.0001,1,1,552  ,502  ,452  ,-10,-20  ,-30  ,0.0,0.0,0.0,1.0,1.0,
TX1 REG A VOLT  ,"RV,RAV1    ",6  ,127.5  ,129  ,150  ,120  ,118.5  ,-10  ,204.7,VOLTS  ,805,805,1,"""03031017""","""TX1 REG A VOLT""",031,6,5,204.7,1,1,150  ,129  ,127.5  ,120,118.5  ,-10  ,0.0,0.0,0.0,1.0,1.0,
TX1 REG B VOLT  ,"RV,RBV1    ",6  ,127.5  ,129  ,150  ,120  ,118.5  ,-10  ,204.7,VOLTS  ,806,806,1,"""03031018""","""TX1 REG B VOLT""",031,6,5,204.7,1,1,150  ,129  ,127.5  ,120,118.5  ,-10  ,0.0,0.0,0.0,1.0,1.0,
TX1 REG C VOLT  ,"RV,RCV1    ",6  ,127.5  ,129  ,150  ,120  ,118.5  ,-10  ,204.7,VOLTS  ,807,807,1,"""03031019""","""TX1 REG C VOLT""",031,6,5,204.7,1,1,150  ,129  ,127.5  ,120,118.5  ,-10  ,0.0,0.0,0.0,1.0,1.0,
BKR 2 A AMP BKR TRIP  ,"RV,2A      ",6  ,452  ,502  ,552  ,-10  ,-20  ,-30  ,600.0001,AMPS  ,808,808,1,"""03031020""","""BKR 2 A AMP BKR TRIP""",031,6,1,600.0001,1,1,552  ,502  ,452  ,-10,-20  ,-30  ,0.0,0.0,0.0,1.0,1.0,
  ,"RV,SOEPT   ",1 2 3 4 5 6 7 8  ,  ,  ,  ,  ,  ,  ,1.0,  ,809,809,2,"""04031004""","""""",031,10,"""""",1.0,1,1,999999,999996,999995,-999995,-999996,-999999,0.0,0.0,0.0,1.0,1.0,
LC DC VOLTS  ,"LC,DCV     ",3  ,135  ,136.5  ,140  ,128.5  ,126.5  ,-10  ,149.998,VOLTS  ,810,810,1,"""03023029""","""LC DC VOLTS""",023,3,5,149.998,1,1,140  ,136.5  ,135  ,128.5,126.5  ,-10  ,0.0,0.0,0.0,1.0,1.0,
