record,OrderNo,Type,Key,Name,Stn,AOR,pState,Norm,AlarmGroup,ICAddress,pDeviceInstance,pCtrlState,pScale,Name_Status_Source  ,Desc  ,Zones  ,PreSuffx  ,Telem_A  ,Open_A  ,Open_B  ,Close_A  ,Normal_State  
20.0,20.0,1.0,"""01022005""","""GC BKR 1 LOC/REM SW""",022,4.0,214.0,0.0,1.0,"""""",17.0,"""""","""""","GC,1LR     ",GC BKR 1 LOC/REM SW  ,4  ,13.0,2  ,  ,  ,  ,0.0
21.0,21.0,1.0,"""01022006""","""GC BKR 1 351 SELF CHECK""",022,4.0,227.0,0.0,1.0,"""""",18.0,"""""","""""","GC,351SC1  ",GC BKR 1 351 SELF CHECK  ,4  ,26.0,3  ,  ,  ,  ,0.0
22.0,22.0,1.0,"""01022007""","""GC BKR 1 2032 CPORT 1""",022,4.0,227.0,0.0,1.0,"""""",19.0,"""""","""""","GC,32CP1   ",GC BKR 1 2032 CPORT 1  ,4  ,26.0,3  ,  ,  ,  ,0.0
23.0,23.0,8.0,"""12002001""","""PSEUDO SWITCH""",002,10.0,216.0,0.0,1.0,"""""",20.0,"""""","""""","PS,BY3P12  ",PSEUDO SWITCH  ,1 2 3 4 5 6 7 8  ,15.0,  ,  ,  ,  ,0.0
24.0,24.0,5.0,"""02055002""","""SB PSEUDO BREAKER""",055,1.0,216.0,0.0,1.0,"""""",21.0,"""""","""""","PS,S8W151  ",SB PSEUDO BREAKER  ,1  ,15.0,  ,  ,  ,  ,0.0
25.0,25.0,1.0,"""01027001""","""RS TX2 735 MET CPORT8""",027,4.0,227.0,0.0,1.0,"""""",22.0,"""""","""""","RS,MET2CP  ",RS TX2 735 MET CPORT8  ,4  ,26.0,7  ,  ,  ,  ,0.0
26.0,26.0,1.0,"""01045001""","""MOBILE TX HOT OIL TEMP""",045,3.0,209.0,0.0,1.0,"""""",1.0,"""""","""""","TU,MTXTOT  ",MOBILE TX HOT OIL TEMP  ,3  ,8.0,0  ,  ,  ,  ,0.0
27.0,27.0,1.0,"""01045002""","""MOBILE TX HOT SPOT""",045,3.0,209.0,0.0,1.0,"""""",23.0,"""""","""""","TU,MTXHS   ",MOBILE TX HOT SPOT  ,3  ,8.0,1  ,  ,  ,  ,0.0
28.0,28.0,1.0,"""01045003""","""MOBILE TX LOSS OF AC""",045,3.0,227.0,0.0,1.0,"""""",24.0,"""""","""""","TU,MTXAC   ",MOBILE TX LOSS OF AC  ,3  ,26.0,1  ,  ,  ,  ,0.0
29.0,29.0,1.0,"""01052001""","""W6144 LOSS OF POTENTIAL""",052,6.0,205.0,0.0,1.0,"""""",25.0,"""""","""""","WB,POT     ",W6144 LOSS OF POTENTIAL  ,6  ,4.0,1  ,  ,  ,  ,0.0
30.0,30.0,1.0,"""01051002""","""311C-1 CP19 (MBIT)""",051,3.0,227.0,0.0,1.0,"""""",26.0,"""""","""""","NR,35CP19  ",311C-1 CP19 (MBIT)  ,3  ,26.0,4  ,  ,  ,  ,0.0
31.0,31.0,1.0,"""01004001""","""LTC FILTER""",004,5.0,227.0,0.0,1.0,"""""",27.0,"""""","""""","WA,LTCFLT  ",LTC FILTER  ,5  ,26.0,3  ,  ,  ,  ,0.0
32.0,32.0,3.0,"""41055001""","""LC TX2 LTC SUPV AUTO/MAN""",055,3.0,221.0,0.0,1.0,"""""",28.0,"""""","""""","PS,BADPNT  ",LC TX2 LTC SUPV AUTO/MAN  ,3  ,20.0,  ,  ,  ,  ,0.0
33.0,33.0,1.0,"""01007001""","""BC 2032 SELF CHECK""",007,3.0,227.0,0.0,1.0,"""""",29.0,"""""","""""","BC,2032SC  ",BC 2032 SELF CHECK  ,3  ,26.0,1  ,  ,  ,  ,0.0
34.0,34.0,1.0,"""01001001""","""TX2 STAGE1 FANS LOSS AC""",001,3.0,205.0,0.0,1.0,"""""",30.0,"""""","""""","DI,T2F1AC  ",TX2 STAGE1 FANS LOSS AC  ,3  ,4.0,10  ,  ,  ,  ,0.0
