record,OrderNo,Type,Name_match,Key,Name,Stn,AOR,"77,0","77,1","77,2","77,3","77,4","78,0","78,1","78,2","78,3","78,4","91,1","91,2","91,3","91,4","91,5",pScale EU_Hi,AlarmGrp,ICAddress,pUNIT,RawCountFormat
823,823,2,"GL,CMT     ","""04046005""","""CUR MONTH DEMANDH""",046,1,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,10,1
824,824,2,"BC,BILLED  ","""04007022""","""BLK CRK BILLED DEMAND""",007,4,165000  ,170000  ,0,0,180000  ,-10,-1000  ,0,0,-2000  ,0.0,0.0,0.0,1.0,1.0,1.0,1,,3,1
825,825,2,"SPR,FR      ","""04067032""","""""",067,10,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,8,1
826,826,2,"BC,FD      ","""04007023""","""BLK CRK UNITS/DAY""",007,4,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,17,1
827,827,2,"BC,CHR     ","""04007024""","""BLK CRK CUR HOUR DEMAND""",007,4,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,10,1
828,828,2,"BC,PHR     ","""04007025""","""BLK CRK CUR HOUR DEMAND""",007,4,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,10,1
829,829,2,"BC,CALI    ","""04007026""","""BLK CRK CALC BCPA DEMAND""",007,4,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,10,1
830,830,2,"BC,MUL     ","""04007027""","""BLK CRK MULTIPLIER""",007,4,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,10,1
831,831,2,"BC,CDY     ","""04007028""","""BLK CRK CUR DAY DEMAND""",007,4,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,10,1
832,832,2,"BC,PDY     ","""04007029""","""BLK CRK PREV DAY DEMAND""",007,4,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,10,1
833,833,2,"BC,CMT     ","""04007030""","""BLK CRK CUR MONTH DEMAND""",007,4,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,10,1
834,834,2,"BC,PMT     ","""04007031""","""BLK CRK PREV MONTH DEMAN""",007,4,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,10,1
835,835,1,"NR,W6151C  ","""03051007""","""W6151C PHASE AMPS""",051,3,540  ,630  ,0,0,720  ,-10,-20  ,0,0,-30  ,0.0,0.0,0.0,1.0,1.0,1.0,1,,1,1
836,836,1,"SECI,131     ","""03058032""","""WE GEN #1 KWATTS""",058,13,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,65504.0,1,,3,1
837,837,1,"WA,1C      ","""03004015""","""WALDO 1C AMPS BKR TRIP""",004,1,500  ,550  ,0,0,600  ,-10,-20  ,0,0,-30  ,0.0,0.0,0.0,1.0,1.0,599.9958,1,,1,1
838,838,2,"NR,PHR     ","""04051007""","""PREVIOUS HOUR DEMAND""",051,10,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,8,1
839,839,1,"WA,MV-     ","""03004016""","""WA VARS LEAD""",004,1,4000  ,5000  ,0,0,5400  ,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,32752.0,1,,4,1
840,840,1,"SECI,102     ","""03058033""","""BY TX1 MV LAG""",058,13,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,4,1
841,841,1,"WA,W       ","""03004017""","""WA TX WATTS""",004,1,19000  ,20000  ,0,0,22400  ,-10,-400  ,0,0,-1000  ,0.0,0.0,0.0,1.0,1.0,65504.0,1,,3,1
842,842,2,"SPR,WT3     ","""04067033""","""GL,MX,SN,ME,MN WATT TTL""",067,4,165000  ,170000  ,0,0,180000  ,-10,-1000  ,0,0,-2000  ,0.0,0.0,0.0,1.0,1.0,1.0,1,,3,1
843,843,1,"ME,2C      ","""03041009""","""ME BKR 2C AMPS BKR TRIP""",041,1,452  ,502  ,0,0,552  ,-10,-20  ,0,0,-30  ,0.0,0.0,0.0,1.0,1.0,600.0126,1,,1,1
844,844,2,"SPR,WT      ","""04067034""","""MODEL""",067,10,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,8,1
845,845,1,"CA,3PF     ","""03010022""","""CBKR 3 POWER FACTOR""",010,5,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,204.7,1,,6,1
846,846,2,"BC,6W56AV  ","""04007032""","""BC 6W56 AVGAMP*VOLT""",007,3,300000  ,340000  ,0,0,380000  ,-10,-1000  ,0,0,-2000  ,0.0,0.0,0.0,1.0,1.0,1.0,1,,3,1
847,847,2,"SA,PFMIN   ","""04056007""","""POWER FACTOR""",056,6,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,8,1
848,848,2,"DB,MUL1    ","""04014004""","""DB TX1 MULTIPLIER""",014,3,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,10,1
849,849,2,"DB,MUL2    ","""04014005""","""DB TX2 MULTIPLIER""",014,3,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,10,1
850,850,2,"OP,CCALI   ","""04016009""","""OP CALC TEST DEMAND""",016,4,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,10,1
851,851,2,"BW,CMT     ","""04015004""","""BW CUR MONTH DEMAND""",015,4,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,10,1
852,852,1,"SA,RAV1    ","""03056008""","""SA TX1 REG A PH VOLTS""",056,6,127.5  ,129  ,0,0,150  ,120,118.5  ,0,0,-10  ,0.0,0.0,0.0,1.0,1.0,204.7,1,,5,1
853,853,2,"BY,TXATOT  ","""04002004""","""BY TX A AMP TOTAL""",002,10,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,1,1
854,854,1,"LC,PF2M    ","""03023031""","""LC TX2 POWER FACTOR MET""",023,3,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,204.7,1,,6,1
855,855,1,"LY,4A      ","""03042012""","""BKR 4 A AMPS""",042,7,440  ,490  ,0,0,540  ,-10,-20  ,0,0,-30  ,0.0,0.0,0.0,1.0,1.0,599.9999,1,,1,1
856,856,2,"KH,PERCT   ","""04038008""","""KH PERCENT ERROR""",038,1,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,"""""",1
857,857,1,"SA,RBV1    ","""03056009""","""SA TX1 REG B PH VOLTS""",056,6,127.5  ,129  ,0,0,150  ,120,118.5  ,0,0,-10  ,0.0,0.0,0.0,1.0,1.0,204.7,1,,5,1
858,858,2,"GP,PDY     ","""04028008""","""PREVIOUS DAY DEMAND""",028,10,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,10,1
859,859,2,"SB,DVMV    ","""04065006""","""SB TO DUVAL MVARS 230 KV""",065,10,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,16,1
860,860,2,"CA,CALI    ","""04010003""","""CARA CALC DEMAND""",010,4,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,10,1
861,861,2,"BC,SBUSW   ","""04007033""","""BC SOUTH BUSS WATTS""",007,3,300000  ,340000  ,0,0,380000  ,-10,-1000  ,0,0,-2000  ,0.0,0.0,0.0,1.0,1.0,1.0,1,,3,1
862,862,2,"FA,CALI    ","""04060006""","""FARNSWORTH CALC DEMAND""",060,4,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,10,1
863,863,1,"GC,MV1     ","""03022009""","""GC VARS LAG""",022,4,4000  ,5000  ,0,0,5400  ,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,65504.0,1,,4,1
864,864,1,"GC,MV1-    ","""03022010""","""GC VARS LEAD""",022,4,4000  ,5000  ,0,0,5400  ,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,65504.0,1,,4,1
865,865,2,"OP,CPDY    ","""04016010""","""OP CALC PREV DAY DEMAND""",016,4,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,10,1
866,866,2,"LC,MUL2    ","""04023021""","""LC TX2 MULTIPLIER""",023,3,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,10,1
867,867,1,"SECI,KHEBV   ","""03058034""","""KH E 230 VOLTS""",058,13,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,38.9196,1,,4,1
868,868,1,"BR,1C      ","""03029017""","""BR BRK 1 C AMPS BRK TRIP""",029,5,500  ,550  ,0,0,600  ,-10,-20  ,0,0,-30  ,0.0,0.0,0.0,1.0,1.0,600.0126,1,,1,1
869,869,2,"PH,CALI    ","""04025001""","""PH CALC DEMAND""",025,5,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,10,1
870,870,1,"WE,PF1M    ","""03069001""","""WE TX1 POWER FACTOR""",069,4,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,204.7,1,,6,1
871,871,2,"SS,CALI    ","""04045004""","""SS CALC DEMAND""",045,4,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,10,1
872,872,1,"RV,2B      ","""03031021""","""BKR 2 B AMP BKR TRIP""",031,6,452  ,502  ,0,0,552  ,-10,-20  ,0,0,-30  ,0.0,0.0,0.0,1.0,1.0,600.0001,1,,1,1
873,873,2,"NR,P1      ","""04051008""","""NR PULSE FROM 6151KW""",051,5,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,10,1
874,874,2,"SPR,CALI    ","""04067035""","""MODEL""",067,10,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,8,1
875,875,2,"SB,GCMV    ","""04065007""","""SB TO GC MVARS""",065,10,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,4,1
876,876,2,"PP,CALI    ","""04037003""","""POMONA PARK CALC DEMAND""",037,4,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,10,1
877,877,1,"WA,KVAM    ","""03004018""","""WA KVA METER""",004,1,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,65504.0,1,,8,1
878,878,1,"LY,4B      ","""03042013""","""BRK 4 B AMPS""",042,7,440  ,490  ,0,0,540  ,-10,-20  ,0,0,-30  ,0.0,0.0,0.0,1.0,1.0,599.9999,1,,1,1
879,879,1,"KH,TX2FRQ  ","""03038008""","""TX2 FREQUENCY""",038,1,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,204.7,1,,7,1
880,880,2,"LC,TUCALI  ","""04023022""","""TUSTENUGGEE CALC DEMAND""",023,4,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,10,1
881,881,2,"HL,SOEPT   ","""04070001""","""""",070,10,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,"""""",1
882,882,2,"MX,SOEPT   ","""04033003""","""""",033,10,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,"""""",1
883,883,1,"CA,4PF     ","""03010023""","""BKR 4 POWER FACTOR""",010,5,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,204.7,1,,6,1
884,884,1,"SG,2A      ","""03008027""","""BKR 2 A AMPS BKR TRIP""",008,7,440  ,490  ,0,0,540  ,-10,-20  ,0,0,-30  ,0.0,0.0,0.0,1.0,1.0,599.9999,1,,1,1
885,885,2,"BC,SOEPT   ","""04007034""","""""",007,10,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,"""""",1
886,886,2,"BW,SOEPT   ","""04015005""","""""",015,10,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,"""""",1
887,887,1,"SA,RCV1    ","""03056010""","""SA TX1 REG C PH VOLTS""",056,6,127.5  ,129  ,0,0,150  ,120,118.5  ,0,0,-10  ,0.0,0.0,0.0,1.0,1.0,204.7,1,,5,1
888,888,2,"SB,131C    ","""04065008""","""GC & LA TX C AMP TOTAL""",065,10,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,1,1
889,889,2,"RD,PF1AVG  ","""04036009""","""TX1 POWER FACTOR AVG""",036,4,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,8,1
890,890,2,"CA,MUL     ","""04010004""","""MULTIPLIER""",010,4,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,10,1
891,891,2,"WH,MUL     ","""04021001""","""MULTIPLIER""",021,5,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,10,1
892,892,2,"FA,MUL     ","""04060007""","""MULTIPLIER""",060,5,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,10,1
893,893,2,"OP,CALI2   ","""04016011""","""OP CALI DEMAND TX2""",016,4,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,10,1
894,894,1,"WE,TX1FRQ  ","""03069002""","""WE TX1 FREQUENCY""",069,4,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,204.7,1,,7,1
895,895,1,"BW,4C      ","""03015016""","""BW FDR 4C AMPS""",015,4,700  ,750  ,0,0,800  ,-10,-20  ,0,0,-30  ,0.0,0.0,0.0,1.0,1.0,799.9981,1,,1,1
896,896,1,"FA,TXA     ","""03060013""","""FA TX A AMPS C/S TRIP""",060,5,835  ,885  ,0,0,942  ,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1637.6,1,,1,1
897,897,2,"NR,MUL     ","""04051009""","""MULTIPLIER""",051,4,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,10,1
898,898,1,"BR,2A      ","""03029018""","""BR BRK 2 A AMPS BRK TRIP""",029,5,500  ,550  ,0,0,600  ,-10,-20  ,0,0,-30  ,0.0,0.0,0.0,1.0,1.0,600.0126,1,,1,1
899,899,2,"PH,MUL     ","""04025002""","""MULTIPLIER""",025,5,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,10,1
900,900,1,"WE,KVA1M   ","""03069003""","""WE TX1 KVA METER""",069,4,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,65504.0,1,,8,1
901,901,2,"SS,MUL     ","""04045005""","""MULTIPLIER""",045,4,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,10,1
902,902,1,"RV,2C      ","""03031022""","""BKR 1 A AMP BKR TRIP""",031,6,452  ,502  ,0,0,552  ,-10,-20  ,0,0,-30  ,0.0,0.0,0.0,1.0,1.0,600.0001,1,,1,1
903,903,2,"MI,PMT2    ","""04011004""","""MI TX2 PRV MTH DMND""",011,3,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,10,1
904,904,2,"SPR,MUL2    ","""04067036""","""MODEL""",067,10,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,8,1
905,905,2,"RD,PF2AVG  ","""04036010""","""TX2 POWER FACTOR AVG""",036,4,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,8,1
906,906,2,"PP,MUL     ","""04037004""","""MULTIPLIER""",037,4,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,10,1
907,907,1,"GL,1B      ","""03046009""","""GL 1B AMPS BKR TRIP""",046,1,450  ,500  ,0,0,560  ,-10,-20  ,0,0,-30  ,0.0,0.0,0.0,1.0,1.0,599.9958,1,,1,1
908,908,1,"LY,4C      ","""03042014""","""BKR 4 C AMPS""",042,7,440  ,490  ,0,0,540  ,-10,-20  ,0,0,-30  ,0.0,0.0,0.0,1.0,1.0,599.9999,1,,1,1
909,909,1,"WE,MV1     ","""03069004""","""WE TX1 VARS LAG""",069,4,18000  ,19000  ,0,0,20000  ,-18000,-19000  ,0,0,-20000  ,0.0,0.0,0.0,1.0,1.0,65504.0,1,,4,1
910,910,2,"LC,TUMUL   ","""04023023""","""MULTIPLIER""",023,4,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,10,1
911,911,2,"LC,TUCHR   ","""04023024""","""CURRENT HOUR DEMAND""",023,4,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,10,1
912,912,2,"LC,CHR2    ","""04023025""","""LC 2 CUR HR DEMAND""",023,3,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,10,1
913,913,1,"LY,5A      ","""03042015""","""BKR 5 A AMPS""",042,7,440  ,490  ,0,0,540  ,-10,-20  ,0,0,-30  ,0.0,0.0,0.0,1.0,1.0,599.9999,1,,1,1
914,914,1,"WA,2C      ","""03004019""","""WALDO 2C AMPS BKR TRIP""",004,1,500  ,550  ,0,0,600  ,-10,-20  ,0,0,-30  ,0.0,0.0,0.0,1.0,1.0,599.9958,1,,1,1
915,915,2,"PP,CHR     ","""04037005""","""CURRENT HOUR DEMAND""",037,4,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,10,1
916,916,2,"SB,RSMV    ","""04065009""","""SB TO RS MVARS""",065,10,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,16,1
917,917,2,"SPR,CHR     ","""04067037""","""MODEL""",067,10,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,8,1
918,918,1,"RD,6A      ","""03036009""","""RD BKR 6A AMPS""",036,4,500  ,550  ,0,0,600  ,-10,-20  ,0,0,-30  ,0.0,0.0,0.0,1.0,1.0,1199.999,1,,1,1
919,919,1,"RV,3A      ","""03031023""","""BKR 3 A AMP BKR TRIP""",031,6,452  ,502  ,0,0,552  ,-10,-20  ,0,0,-30  ,0.0,0.0,0.0,1.0,1.0,600.0001,1,,1,1
920,920,2,"SS,CHR     ","""04045006""","""CURRENT HOUR DEMAND""",045,4,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,10,1
921,921,1,"WE,MV1-    ","""03069005""","""WE TX1 VARS LEAD""",069,4,4000  ,5000  ,0,0,5400  ,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,65504.0,1,,4,1
922,922,2,"PH,CHR     ","""04025003""","""CURRENT HOUR DEMAND""",025,5,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,10,1
923,923,1,"BR,2B      ","""03029019""","""BR BRK 2 B AMPS BRK TRIP""",029,5,500  ,550  ,0,0,600  ,-10,-20  ,0,0,-30  ,0.0,0.0,0.0,1.0,1.0,600.0126,1,,1,1
924,924,1,"SECI,RVEBV   ","""03058035""","""RV E 230 VOLTS""",058,13,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,3541.31,1,,4,1
925,925,1,"FA,TXB     ","""03060014""","""FA TX B AMPS C/S TRIP""",060,5,835  ,885  ,0,0,942  ,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1637.6,1,,1,1
926,926,2,"ES,SOEPT   ","""04047001""","""""",047,10,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,"""""",1
927,927,1,"WE,PF2M    ","""03069006""","""WE TX2 POWER FACTOR""",069,4,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,204.7,1,,6,1
928,928,2,"OP,CDY2    ","""04016012""","""OP CUR DAY DEMAND""",016,4,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,10,1
929,929,2,"FA,CHR     ","""04060008""","""CURRENT HOUR DEMAND""",060,4,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,10,1
930,930,2,"DB,CHRT    ","""04014006""","""DB CUR HR DEMAND TOT""",014,3,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,10,1
931,931,2,"CA,CHR     ","""04010005""","""CURRENT HOUR DEMAND""",010,4,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,10,1
932,932,2,"SB,LAW     ","""04065010""","""SEMI LA DELIVERY PT WATT""",065,10,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,3,1
933,933,2,"SB,131A    ","""04065011""","""GC & LA TX A AMP TOTAL""",065,10,999995,999996,0,0,999999,-999995,-999996,0,0,-999999,0.0,0.0,0.0,1.0,1.0,1.0,1,,1,1
934,934,1,"HA,BV1     ","""03020002""","""HA TX1 B PH BUS VOLTS""",020,7,140  ,142  ,0,0,145  ,115,112  ,0,0,110  ,0.0,0.0,0.0,1.0,1.0,204.7,1,,5,1
935,935,1,"HA,CV1     ","""03020003""","""HA TX1 C PH BUS VOLTS""",020,7,140  ,142  ,0,0,145  ,115,112  ,0,0,110  ,0.0,0.0,0.0,1.0,1.0,204.7,1,,5,1
