* 
	5	ANALOG	0	1	3	4	5	10	23	24	42	77,4	77,1	77,0	78,0	78,1	78,4	91,1	91,2	91,3	91,4	91,5	66
*	record	OrderNo	Type	Key	Name	Stn	AOR	pUNIT	pScale EU_Hi	AlarmGrp	77,4	77,1	77,0	78,0	78,1	78,4	NomPairInactive91,1	91,2	91,3	91,4	91,5	ICAddress
	1062	1062	1	"03011028"	"MI TX1 REG B VOLTS"	011	3	5	204.7	1	150  	129  	127.5  	120	118.5  	-10  	0.0	0.0	0.0	1.0	1.0	
	1063	1063	1	"03011029"	"MI TX1 REG C VOLTS"	011	3	5	204.7	1	150  	129  	127.5  	120	118.5  	-10  	0.0	0.0	0.0	1.0	1.0	
	1064	1064	1	"03017036"	"AL BRK 4 A AMPS BKR TRIP"	017	5	1	600.0001	1	660  	620  	580  	-10	-20  	-30  	0.0	0.0	0.0	1.0	1.0	
	1065	1065	2	"04003003"	"PREVIOUS HOUR DEMAND"	003	5	7	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1066	1066	1	"03021020"	"WH TX1 VARS LAG"	021	5	4	32752.0	1	21600  	12000  	11000  	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1067	1067	1	"03031029"	"BKR 6 B AMP BKR TRIP"	031	6	1	600.0001	1	552  	502  	452  	-10	-20  	-30  	0.0	0.0	0.0	1.0	1.0	
	1068	1068	2	"04031005"	"RV BRK 6 AMP TOTAL"	031	10	1	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1069	1069	2	"04031006"	"RV BRK 7 AMP TOTAL"	031	10	1	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1070	1070	1	"03011030"	"MI BKR 4 POWER FACTOR"	011	3	6	204.7	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1071	1071	1	"03011031"	"MI BKR 5 POWER FACTOR"	011	3	6	204.7	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1072	1072	1	"03011032"	"MI TX2 REG A VOLTS"	011	3	5	204.7	1	150  	129  	127.5  	120	118.5  	-10  	0.0	0.0	0.0	1.0	1.0	
	1073	1073	1	"03011033"	"MI LTC1 TAP POS"	011	3	11	15.9666	1	16.5  	16  	15  	-15	-16  	-16.5  	0.0	0.0	0.0	1.0	1.0	
	1074	1074	1	"03031030"	"FDR 3 WATTS"	031	6	3	20470.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1075	1075	1	"03031031"	"FDR 4 WATTS"	031	6	3	20470.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1076	1076	1	"03031032"	"FDR 7 WATTS"	031	6	3	20470.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1077	1077	1	"03031033"	"FDR 5 WATTS"	031	6	3	20470.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1078	1078	2	"04053025"	"CEC CALCULATED DEMAND"	053	4	7	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1079	1079	2	"04053026"	"CURRENT HOUR DEMAND"	053	4	7	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1080	1080	2	"04053027"	"PREVIOUS HOUR DEMAND"	053	4	7	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1081	1081	2	"04053028"	"CURRENT DAY DEMAND"	053	4	7	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1082	1082	2	"04053029"	"PREVIOUS DAY DEMAND"	053	4	7	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1083	1083	2	"04053030"	"CURRENT MONTH DEMAND"	053	4	7	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1084	1084	2	"04053031"	"PREVIOUS MONTH DEMAND"	053	4	7	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1085	1085	2	"04053032"	"CALCULATED DEMAND"	053	4	7	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1086	1086	2	"04053033"	"CURRENT HOUR DEMAND"	053	4	7	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1087	1087	2	"04053034"	"PREVIOUS HOUR DEMAND"	053	4	7	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1088	1088	2	"04053035"	"CURRENT DAY DEMAND"	053	4	7	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1089	1089	2	"04053036"	"PREVIOUS DAY DEMAND"	053	4	7	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1090	1090	2	"04053037"	"CURRENT MONTH DEMAND"	053	4	7	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1091	1091	2	"04053038"	"PREVIOUS MONTH DEMAND"	053	4	7	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1092	1092	2	"04053039"	"ADDITIVE DEMAND"	053	4	7	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1093	1093	2	"04053040"	"ADDITIVE DEMAND"	053	4	7	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1094	1094	2	"04053041"	"ADDITIVE DEMAND"	053	4	7	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1095	1095	2	"04053042"	"ADDITIVE DEMAND"	053	4	7	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1096	1096	1	"03060023"	"FA 2C AMPS-BKR TRIP"	060	5	1	1200.0	1	600  	550  	500  	-10	-20  	-30  	0.0	0.0	0.0	1.0	1.0	
	1097	1097	2	"04053043"	"CURRENT HOUR DEMAND"	053	4	7	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1098	1098	2	"04053044"	"PREVIOUS HOUR DEMAND"	053	4	7	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1099	1099	2	"04053045"	"CURRENT DAY DEMAND"	053	4	7	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1100	1100	2	"04053046"	"PREVIOUS DAY DEMAND"	053	4	7	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1101	1101	2	"04053047"	"CURRENT MONTH DEMAND"	053	4	7	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1102	1102	2	"04053048"	"PREVIOUS MONTH DEMAND"	053	4	7	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1103	1103	2	"04053049"	"CALI ADDITIVE"	053	4	7	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1104	1104	2	"04053050"	"CALI ADDITIVE"	053	4	7	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1105	1105	2	"04053051"	"CALI ADDITIVE"	053	4	7	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1106	1106	2	"04053052"	"CALI ADDITIVE"	053	4	7	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1107	1107	2	"04053053"	"CALI ADDITIVE"	053	4	7	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1108	1108	2	"04004004"	"MULTIPLIER"	004	1	7	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1109	1109	2	"04053054"	"SYSTEM SUPER CLUSTER"	053	4	7	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1110	1110	2	"04053055"	"SYSTEM 288 CONSTANT MUL"	053	4	7	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1111	1111	1	"03060024"	"FA 3A AMPS-BKR TRIP"	060	5	1	1200.0	1	600  	550  	500  	-10	-20  	-30  	0.0	0.0	0.0	1.0	1.0	
	1112	1112	1	"03041010"	"ME REG C PH VOLTS"	041	1	5	204.7	1	150  	129  	127.5  	120	118.5  	-10  	0.0	0.0	0.0	1.0	1.0	
	1113	1113	1	"03022011"	"GC DC VOLTS BRK #1"	022	4	5	149.9835	1	140  	136.5  	135  	128.5	126.5  	-10  	0.0	0.0	0.0	1.0	1.0	
	1114	1114	1	"03022012"	"GC BRK 1A AMPS BKR TRP"	022	4	1	599.9999	1	480  	430  	380  	-10	-20  	-30  	0.0	0.0	0.0	1.0	1.0	
	1115	1115	1	"03058038"	"BC S 230 VOLTS"	058	13	4	204.7	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1116	1116	2	"04030007"	"SS PARITY ERRO"	030	1	""	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1117	1117	2	"04067041"	"MODEL"	067	10	10	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1118	1118	1	"03042020"	"BRK 6 C AMPS"	042	7	1	599.9999	1	540  	490  	440  	-10	-10  	-10  	0.0	0.0	0.0	1.0	1.0	
	1119	1119	1	"03001009"	"DR INLET 7C AMP-BKR TRIP"	001	3	1	1200.0	1	480  	460  	440  	-10	-20  	-30  	0.0	0.0	0.0	1.0	1.0	
	1120	1120	1	"03022013"	"GC FDR 1 WATTS"	022	4	3	20470.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1121	1121	1	"03022014"	"GC FDR 2 WATTS"	022	4	3	20470.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1122	1122	1	"03042021"	"LY DC VOLTS"	042	7	5	149.9835	1	140  	136.5  	135  	128.5	126.5  	-10  	0.0	0.0	0.0	1.0	1.0	
	1123	1123	1	"03042022"	"LY TX1 LTC POS IND"	042	7	11	15.9922	1	16.5  	16  	15  	-15	-16  	-16.5  	0.0	0.0	0.0	1.0	1.0	
	1124	1124	2	"04067042"	"MODEL"	067	10	10	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1125	1125	2	"04067043"	"MODEL"	067	10	10	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1126	1126	2	"04030008"	"SS TIMEOUT ERROR"	030	7	""	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1127	1127	2	"04030009"	"SS PERCENT ERROR"	030	7	""	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1128	1128	1	"03051010"	"B VOLTS"	051	3	5	354.131	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1129	1129	2	"04067044"	"GL TIMEOUT ERROR"	067	1	""	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1130	1130	2	"04067045"	"BLACK CREEK PERCENT ERRO"	067	1	""	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1131	1131	2	"04067046"	"MODEL"	067	10	10	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1132	1132	2	"04067047"	"BLACK CREEK PARITY ERRO"	067	1	""	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1133	1133	2	"04053056"	"SYSTEM SIMULATED HOURLY"	053	4	7	1.0	1	770000  	760000  	750000  	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1134	1134	2	"04053057"	"PERIODS IN 15 MIN MULTIP"	053	4	18	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1135	1135	2	"04053058"	"SYSTEM MAX DEMAND CURREN"	053	4	7	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1136	1136	2	"04015008"	"BW PREV DAY DEMAND"	015	4	7	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1137	1137	1	"03001010"	"DR INLET 1B AMP-BKR TRIP"	001	3	1	1200.0	1	480  	460  	440  	-10	-20  	-30  	0.0	0.0	0.0	1.0	1.0	
	1138	1138	2	"04053059"	"CEC TOTAL COIN DEMAND"	053	10	7	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1139	1139	1	"03038010"	"LTC2 OIL TEMP"	038	1	13	1.0	1	120  	115  	100  	-5	-10  	-300  	0.0	0.0	0.0	1.0	1.0	
	1140	1140	1	"03029024"	"BR LD TAP CHGR POS"	029	5	11	15.9666	1	16.5  	16  	15  	-15	-16  	-16.5  	0.0	0.0	0.0	1.0	1.0	
	1141	1141	2	"04025008"	"PREV MONTH TOTAL"	025	5	7	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1142	1142	2	"04074004"	"PREV MONTH TOTAL"	074	7	7	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1143	1143	1	"03060025"	"FA 3B AMPS-BKR TRIP"	060	5	1	1200.0	1	600  	550  	500  	-10	-20  	-30  	0.0	0.0	0.0	1.0	1.0	
	1144	1144	1	"03031034"	"TX2 FREQUENCY METER"	031	6	9	204.7	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1145	1145	2	"04051012"	"PREV MONTH TOTAL"	051	10	10	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1146	1146	2	"04037010"	"PREV MONTH TOTAL"	037	4	7	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1147	1147	2	"04042001"	"MULTIPLIER"	042	4	7	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1148	1148	2	"04036014"	"RD BRK 4 AMP TOTAL"	036	10	1	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1149	1149	2	"04045012"	"PREV MONTH TOTAL"	045	4	7	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1150	1150	1	"03036015"	"TX2 A AMPS C/S TRIP"	036	3	1	1637.6	1	644  	594  	544  	-10	-20  	-30  	0.0	0.0	0.0	1.0	1.0	
	1151	1151	1	"03020007"	"HA FDR 1 POWER FACTOR"	020	7	6	204.7	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1152	1152	1	"03070009"	"TX1 FREQUENCY METER"	070	5	9	204.7	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1153	1153	2	"04010010"	"PREV MONTH TOTAL"	010	4	7	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1154	1154	1	"03031035"	"TX2 VARS LAG"	031	6	4	65504.0	1	14400  	6000  	5000  	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1155	1155	2	"04006001"	"FW,CA WATT TTL"	006	5	3	1.0	1	180000  	170000  	165000  	-10	-1000  	-2000  	0.0	0.0	0.0	1.0	1.0	
	1156	1156	1	"03060026"	"FA 3C AMPS-BKR TRIP"	060	5	1	1200.0	1	600  	550  	500  	-10	-20  	-30  	0.0	0.0	0.0	1.0	1.0	
	1157	1157	1	"03017037"	"AL TX1 VARS LAG"	017	5	4	32752.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1158	1158	1	"03036016"	"RD TX1 VARS LAG"	036	4	4	65504.0	1	14400  	12000  	11000  	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1159	1159	1	"03023034"	"LC 5B AMP BKR TRP"	023	3	1	599.9958	1	470  	440  	410  	-10	-20  	-30  	0.0	0.0	0.0	1.0	1.0	
	1160	1160	1	"03060027"	"FA 4A AMPS-BKR TRIP"	060	5	1	1200.0	1	600  	550  	500  	-10	-20  	-30  	0.0	0.0	0.0	1.0	1.0	
	1161	1161	1	"03060028"	"FA 4B AMPS-BKR TRIP"	060	5	1	1200.0	1	600  	550  	500  	-10	-20  	-30  	0.0	0.0	0.0	1.0	1.0	
	1162	1162	1	"03060029"	"FA 4C AMPS-BKR TRIP"	060	5	1	1200.0	1	600  	550  	500  	-10	-20  	-30  	0.0	0.0	0.0	1.0	1.0	
	1163	1163	2	"04067048"	""	067	10	13	1.0	1	150  	125  	105  	-5	-10  	-300  	0.0	0.0	0.0	1.0	1.0	
	1164	1164	2	"04067049"	""	067	5	13	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1165	1165	2	"04067050"	""	067	5	13	12215040.0	1	150  	125  	105  	-5	-10  	-300  	0.0	0.0	0.0	1.0	1.0	
	1166	1166	2	"04067051"	""	067	5	13	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1167	1167	1	"03060030"	"FA TX1 LD TAP CHGR POS"	060	5	11	15.9922	1	16.5  	16  	15  	-15	-16  	-16.5  	0.0	0.0	0.0	1.0	1.0	
	1168	1168	1	"03060031"	"FA TX2 LD TAP CHGR POS"	060	5	11	15.9922	1	16.5  	16  	15  	-15	-16  	-16.5  	0.0	0.0	0.0	1.0	1.0	
	1169	1169	1	"03021021"	"FDR 3 POWER FACTOR"	021	5	6	204.7	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1170	1170	1	"03036017"	"RD TX1 KVA METER"	036	4	10	65504.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1171	1171	2	"04046006"	"FPL PULSE ADDED"	046	1	3	1.0	1	999999	999996	999995	0	-20  	-30  	0.0	0.0	0.0	1.0	1.0	
	1172	1172	2	"04046007"	"GL REGULATOR STAGE"	046	10	12	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1173	1173	2	"04046008"	"GL,MX,SN,ME,MN WATT TTL"	046	1	3	1.0	1	180000  	170000  	165000  	-10	-1000  	-2000  	0.0	0.0	0.0	1.0	1.0	
	1174	1174	2	"04015009"	"BW PREVIOUS H0UR DEMAND"	015	4	7	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1175	1175	1	"03011034"	"MI BKR 3C AMPS"	011	3	1	600.0003	1	480  	440  	400  	-10	-20  	-30  	0.0	0.0	0.0	1.0	1.0	
	1176	1176	3	"99055012"	"SUQARE ROOT MULTIPLIER"	055	10	7	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1177	1177	1	"03028006"	"REG C TAP CHGR POS"	028	6	11	15.9922	1	16.5  	16  	15  	-15	-16  	-16.5  	0.0	0.0	0.0	1.0	1.0	
	1178	1178	1	"03058039"	"DB MWATTS TOTAL"	058	13	3	196512.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1179	1179	1	"03058040"	"MI MWATTS TOT"	058	10	3	131008.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1180	1180	2	"04058003"	"SB TOTAL WATTS"	058	10	3	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1181	1181	1	"03020008"	"HA FDR 2 POWER FACTOR"	020	7	6	204.7	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1182	1182	1	"03020009"	"HA FDR 3 POWER FACTOR"	020	7	6	204.7	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1183	1183	2	"04002006"	"BY BRK 3 AMP TOTAL"	002	10	""	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1184	1184	2	"04002007"	"BY BRK 4 AMP TOTAL"	002	10	1	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1185	1185	2	"04016016"	"OP PREV DAY DEMAND"	016	4	7	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1186	1186	2	"04075001"	"ODA DEADBAND"	075	12	""	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1187	1187	2	"04011006"	"MI TX1 CURRENT DAY DEMD"	011	3	7	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1188	1188	1	"03025024"	"REG B TAP CHGR POS"	025	5	11	15.9922	1	16.5  	16  	15  	-15	-16  	-16.5  	0.0	0.0	0.0	1.0	1.0	
	1189	1189	1	"03017038"	"AL BRK 4 B AMPS BKR TRIP"	017	5	1	600.0001	1	660  	620  	580  	-10	-20  	-30  	0.0	0.0	0.0	1.0	1.0	
	1190	1190	1	"03011035"	"MI TX1 KVA METER"	011	3	10	65504.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1191	1191	1	"03023035"	"LC TX2 C AMPS C/S TRIP"	023	3	1	1637.6	1	830  	800  	780  	-10	-20  	-30  	0.0	0.0	0.0	1.0	1.0	
	1192	1192	2	"04075002"	"ODA RATE PER SEC"	075	12	""	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1193	1193	1	"03058041"	"FI TX2 MV LAG"	058	13	4	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1194	1194	1	"03058042"	"RS TX2 MV LEAD"	058	13	4	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1195	1195	2	"04053060"	"DIVIDER"	053	4	7	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1196	1196	1	"03058043"	"RD TX1 MVD LAG"	058	13	4	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1197	1197	1	"03072006"	"BL TX1 LS B AMPS"	072	5	1	1637.6	1	554  	530  	500  	-10	-20  	-30  	0.0	0.0	0.0	1.0	1.0	
	1198	1198	1	"03040003"	"MN BKR 3 A AMPS"	040	6	1	599.9982	1	600  	550  	500  	-10	-20  	-30  	0.0	0.0	0.0	1.0	1.0	
	1199	1199	1	"03040004"	"MN BKR 2 B AMPS"	040	6	1	599.9982	1	600  	550  	500  	-10	-20  	-30  	0.0	0.0	0.0	1.0	1.0	
	1200	1200	1	"03072007"	"BL TX1 LS C AMPS"	072	5	1	1637.6	1	554  	530  	500  	-10	-20  	-30  	0.0	0.0	0.0	1.0	1.0	
	1201	1201	1	"03046010"	"GL 1A AMPS BKR TRIP"	046	1	1	599.9958	1	560  	500  	450  	-10	-20  	-30  	0.0	0.0	0.0	1.0	1.0	
	1202	1202	1	"03023036"	"LC 3B AMP BKR TRP"	023	3	1	599.9958	1	470  	440  	410  	-10	-20  	-30  	0.0	0.0	0.0	1.0	1.0	
	1203	1203	2	"04049003"	"FR BRK 3 AMP TOTAL"	049	10	1	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1204	1204	1	"03023037"	"LC TX1 B AMPS C/S TRIP"	023	3	1	1637.6	1	830  	800  	780  	-10	-20  	-30  	0.0	0.0	0.0	1.0	1.0	
	1205	1205	2	"04014007"	"DB PRV HOUR DEMAND TOT"	014	3	7	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1206	1206	1	"03011036"	"TX1 FREQUENCY METER"	011	3	9	204.7	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1207	1207	1	"03073008"	"WO TX1 KVA METER"	073	3	10	65504.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1208	1208	1	"03011037"	"MI TX1 POWER FACTOR"	011	3	6	204.7	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1209	1209	1	"03017039"	"AL BRK 4 C AMPS BKR TRIP"	017	5	1	600.0001	1	660  	620  	580  	-10	-20  	-30  	0.0	0.0	0.0	1.0	1.0	
	1210	1210	1	"03033011"	"MX TX1 POWER FACTOR"	033	3	6	204.7	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1211	1211	1	"03021022"	"FDR 1 POWER FACTOR"	021	5	6	204.7	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1212	1212	1	"03041011"	"ME TX A AMPS C/S TRIP"	041	1	1	2456.4	1	1150  	1100  	1050  	-10	-20  	-30  	0.0	0.0	0.0	1.0	1.0	
	1213	1213	1	"03022015"	"GC BRK 1B AMPS BKR TRP"	022	4	1	599.9999	1	480  	430  	380  	-10	-20  	-30  	0.0	0.0	0.0	1.0	1.0	
	1214	1214	1	"03006005"	"FW TX1 WINDING 2 TEMP"	006	5	13	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1215	1215	3	"99055013"	"PERVENT CALCED FAILURE"	055	10	3	1.0	1	3750  	3500  	3400  	-10	-500  	-1000  	0.0	0.0	0.0	1.0	1.0	
	1216	1216	3	"99055014"	"PERVENT CALCED FAILURE"	055	10	4	1.0	1	3600  	3400  	3000  	-3750	-4500  	-7500  	0.0	0.0	0.0	1.0	1.0	
	1217	1217	1	"03015017"	"BW DC VOLTS"	015	4	5	149.9835	1	140  	136.5  	135  	128.5	126.5  	-10  	0.0	0.0	0.0	1.0	1.0	
	1218	1218	1	"03017040"	"AL TX1 VARS LEAD"	017	5	4	32752.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1219	1219	1	"03006006"	"FW TX1 WINDING 3 TEMP"	006	5	13	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1220	1220	2	"04014008"	"DB TX3 MULTIPLIER"	014	3	7	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	1221	1221	1	"03040005"	"MN BKR 1 B AMPS"	040	6	1	599.9982	1	600  	550  	500  	-10	-20  	-30  	0.0	0.0	0.0	1.0	1.0	
	1222	1222	1	"03040006"	"MN BKR 1 C AMPS"	040	6	1	599.9982	1	600  	550  	500  	-10	-20  	-30  	0.0	0.0	0.0	1.0	1.0	
