* 
	5	ANALOG	0	1	3	4	5	10	23	24	42	77,4	77,1	77,0	78,0	78,1	78,4	91,1	91,2	91,3	91,4	91,5	66
*	record	OrderNo	Type	Key	Name	Stn	AOR	pUNIT	pScale EU_Hi	AlarmGrp	77,4	77,1	77,0	78,0	78,1	78,4	NomPairInactive91,1	91,2	91,3	91,4	91,5	ICAddress
	36	36	1	"03012013"	"LA DC VOLTS"	012	4	5	149.9836	1	143  	138.5  	137  	128.5	126.5  	-10  	0.0	0.0	0.0	1.0	1.0	
	37	37	1	"03012014"	"LA BRK 1 A AMPS BKR TRIP"	012	4	1	600.0126	1	480  	430  	380  	-10	-20  	-30  	0.0	0.0	0.0	1.0	1.0	
	38	38	1	"03012015"	"LA BRK 1 B AMPS BKR TRIP"	012	4	1	600.0126	1	480  	430  	380  	-10	-20  	-30  	0.0	0.0	0.0	1.0	1.0	
	39	39	1	"03012016"	"LA BRK 1 C AMPS BKR TRIP"	012	4	1	600.0126	1	480  	430  	380  	-10	-20  	-30  	0.0	0.0	0.0	1.0	1.0	
	40	40	1	"03012017"	"LA BRK 2 A AMPS BKR TRIP"	012	4	1	600.0126	1	600  	550  	500  	-10	-20  	-30  	0.0	0.0	0.0	1.0	1.0	
	41	41	1	"03012018"	"LA BRK 2 B AMPS BKR TRIP"	012	4	1	600.0126	1	600  	550  	500  	-10	-20  	-30  	0.0	0.0	0.0	1.0	1.0	
	42	42	1	"03012019"	"LA BRK 2 C AMPS BKR TRIP"	012	4	1	600.0126	1	600  	550  	500  	-10	-20  	-30  	0.0	0.0	0.0	1.0	1.0	
	43	43	1	"03012020"	"LA BRK 3 A AMPS BKR TRIP"	012	4	1	600.0126	1	600  	550  	500  	-10	-20  	-30  	0.0	0.0	0.0	1.0	1.0	
	44	44	1	"03012021"	"LA BRK 3 B AMPS BKR TRIP"	012	4	1	600.0126	1	600  	550  	500  	-10	-20  	-30  	0.0	0.0	0.0	1.0	1.0	
	45	45	1	"03012022"	"LA BRK 3 C AMPS BKR TRIP"	012	4	1	600.0126	1	600  	550  	500  	-10	-20  	-30  	0.0	0.0	0.0	1.0	1.0	
	46	46	1	"03012023"	"LA LTC1 TAP POS"	012	4	11	15.9666	1	16.5  	16  	15  	-15	-16  	-16.5  	0.0	0.0	0.0	1.0	1.0	
	47	47	2	"04012001"	"LAKE ASBURY CALI DEMAND"	012	4	7	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	48	48	2	"04012002"	"LA CUR DAY DEMAND"	012	4	7	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	49	49	2	"04012003"	"LA CUR HOUR DEMAND"	012	4	7	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	50	50	2	"04012004"	"LA CUR MONTH DEMAND"	012	4	7	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	51	51	2	"04012005"	"LAKE ASBURY MULTIPLIER"	012	4	7	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	52	52	1	"03012024"	"LAKE PULSE ACCUMULATOR 1"	012	4	3	4.8	1	999999	999996	999995	1	-2  	-4  	0.0	0.0	0.0	1.0	1.0	
	53	53	2	"04012006"	"LA PREV DAY DEMAND"	012	4	7	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	54	54	2	"04012007"	"LA POWER FACTOR AVG"	012	4	10	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
	55	55	2	"04012008"	"LA PREVIOUS H0UR DEMAND"	012	4	7	1.0	1	999999	999996	999995	-999995	-999996	-999999	0.0	0.0	0.0	1.0	1.0	
