*
	9	Scale	0	12
*	Scale	Name
	1	0.1	0.1
	2	4.8	4.8
	3	0.8	0.8
	4	32	32
	5	0.0078	0.0078
	6	0.586223	0.586223
	7	0.073278	0.073278
	8	0.586227	0.586227
	9	0.586224	0.586224
	10	0.5862237	0.5862237
	11	96	96
	12	10	10
	13	1	1
	14	0.29311187	0.29311187
	15	48	48
	16	7.2	7.2
	17	1.2	1.2
	18	0.0078	0.0078
	19	144	144
	20	0.07327797	0.07327797
	21	2.4	2.4
	22	0.07327797	0.07327797
	23	1.0	One_Unit
0
