*
	41	ANALOG_CONFIG	0	9
*	KEY	pDeviceInstance
	264	"04053010"	3223
	265	"04059001"	3224
	266	"03058013"	3225
	267	"04053011"	3226
	268	"03036001"	3227
	269	"03003001"	3131
	270	"03008010"	3151
	271	"03003002"	3132
	272	"04062001"	3110
	273	"04037002"	3174
	274	"03004005"	3094
	275	"99055003"	3228
	276	"03004006"	3229
	277	"03009001"	3071
	278	"03015011"	3097
	279	"03051001"	3230
	280	"03071002"	3086
	281	"04029001"	3110
	282	"04023013"	3231
	283	"04002001"	3232
	284	"03059002"	3233
	285	"04048002"	3234
	286	"03023006"	3136
	287	"03004007"	3086
	288	"04065005"	3114
	289	"03038003"	3117
	290	"03023007"	3235
	291	"03001002"	3117
	292	"04065006"	3139
	293	"03008011"	3100
	294	"03008012"	3236
	295	"04071001"	3110
	296	"03043002"	3077
	297	"03043003"	3078
	298	"03043004"	3079
	299	"03043005"	3076
	300	"03068002"	3237
	301	"03033006"	3089
	302	"99061001"	3066
	303	"99061002"	3238
	304	"03059003"	3088
	305	"03019003"	3239
	306	"03058014"	3240
	307	"03058015"	3241
	308	"03058016"	3242
	309	"03058017"	3243
	310	"03058018"	3244
	311	"03058019"	3245
	312	"03058020"	3246
	313	"03058021"	3247
	314	"03058022"	3248
	315	"03058023"	3249
	316	"03058024"	3250
	317	"03058025"	3251
	318	"03046004"	3084
	319	"04058002"	3252
	320	"03023008"	3170
	321	"04046002"	3160
	322	"03062002"	3086
	323	"04004002"	3111
	324	"03059004"	3087
	325	"03021003"	3087
	326	"03038004"	3139
	327	"04046003"	3109
	328	"04046004"	3105
	329	"99061003"	3253
	330	"99061004"	3254
	331	"03016001"	3151
	332	"03016002"	3065
	333	"03019004"	3255
	334	"04065007"	3256
	335	"03045003"	3257
	336	"03045004"	3258
	337	"03045005"	3259
	338	"03045006"	3260
	339	"03045007"	3261
	340	"03045008"	3262
	341	"03045009"	3263
	342	"03045010"	3074
	343	"03045011"	3075
	344	"03045012"	3077
	345	"03045013"	3078
	346	"03045014"	3079
	347	"03045015"	3073
	348	"03045016"	3264
	349	"04065008"	3265
	350	"04065009"	3120
	351	"03015012"	3098
	352	"04065010"	3266
	353	"04065011"	3267
	354	"04065012"	3268
	355	"03051002"	3269
	356	"03051003"	3270
	357	"03051004"	3271
	358	"04065013"	3272
	359	"04065014"	3273
	360	"04038004"	3071
	361	"03015013"	3099
	362	"04045002"	3274
	363	"03015014"	3130
	364	"04065015"	3275
	365	"04028002"	3110
	366	"04028003"	3101
	367	"04065016"	3134
	368	"04065017"	3276
	369	"04065018"	3277
	370	"03045017"	3278
	371	"04065019"	3279
	372	"03012025"	3280
	373	"04053012"	3281
	374	"03058026"	3282
	375	"03058027"	3283
	376	"04051001"	3101
	377	"04051002"	3102
	378	"04051003"	3103
	379	"03051005"	3071
	380	"04065020"	3072
	381	"03023009"	3284
	382	"04007006"	3285
	383	"04007007"	3286
	384	"04007008"	3287
	385	"03006002"	3288
	386	"03011020"	3172
	387	"03023010"	3278
	388	"03023011"	3289
	389	"04065021"	3073
	390	"03021004"	3076
	391	"03021005"	3074
	392	"03021006"	3075
	393	"03071003"	3072
	394	"03071004"	3073
	395	"03030001"	3091
	396	"03030002"	3092
	397	"03030003"	3093
	398	"03030004"	3094
	399	"03030005"	3095
	400	"03030006"	3096
	401	"03030007"	3130
	402	"03030008"	3131
	403	"03030009"	3132
	404	"03072001"	3077
	405	"03072002"	3078
	406	"03072003"	3079
	407	"03071005"	3083
	408	"03071006"	3084
	409	"03071007"	3085
	410	"03068003"	3068
	411	"03038005"	3140
	412	"04053013"	3290
	413	"04053014"	3291
	414	"04053015"	3292
	415	"03023012"	3137
	416	"03004008"	3087
	417	"03058028"	3293
	418	"04017005"	3294
	419	"03004009"	3095
	420	"03004010"	3080
	421	"03046005"	3093
	422	"04053016"	3295
	423	"04065022"	3296
	424	"04065023"	3297
	425	"04051004"	3167
	426	"03037001"	3090
	427	"03037002"	3298
	428	"03037003"	3299
	429	"03037004"	3077
	430	"03037005"	3078
	431	"03037006"	3079
	432	"04023014"	3265
	433	"03006003"	3084
	434	"03025003"	3128
	435	"03038006"	3300
	436	"03016003"	3300
	437	"04038005"	3301
	438	"04067001"	3265
	439	"04067002"	3120
	440	"04038006"	3142
	441	"04038007"	3302
	442	"04067003"	3155
	443	"04067004"	3067
	444	"04067005"	3303
	445	"04007009"	3294
	446	"04040002"	3070
	447	"04040003"	3126
	448	"04040004"	3127
	449	"04040005"	3101
	450	"04040006"	3102
	451	"04040007"	3103
	452	"04040008"	3104
	453	"04040009"	3105
	454	"04040010"	3106
	455	"04040011"	3107
	456	"03023013"	3304
	457	"04040012"	3108
	458	"04040013"	3109
	459	"04040014"	3167
	460	"04040015"	3111
	461	"04040016"	3160
	462	"03040001"	3091
	463	"03008013"	3113
	464	"04008001"	3107
	465	"04008002"	3108
	466	"04008003"	3109
	467	"03028001"	3076
	468	"03008014"	3300
	469	"04008004"	3160
	470	"03008015"	3072
	471	"03008016"	3075
	472	"03008017"	3073
	473	"03062003"	3087
	474	"03062004"	3088
	475	"03062005"	3073
	476	"03062006"	3089
	477	"03008018"	3095
	478	"03008019"	3068
	479	"04039001"	3105
	480	"03008020"	3084
	481	"03008021"	3089
	482	"03008022"	3083
	483	"03008023"	3088
	484	"03008024"	3085
	485	"03008025"	3090
	486	"04007010"	3305
	487	"04029002"	3101
	488	"04029003"	3102
	489	"04029004"	3103
	490	"04029005"	3104
	491	"04029006"	3105
	492	"04029007"	3106
	493	"04028004"	3103
	494	"04028005"	3105
	495	"04028006"	3108
	496	"04063001"	3306
	497	"04003001"	3110
	498	"04008005"	3111
	499	"04007011"	3307
	500	"99061005"	3308
	501	"03072004"	3068
	502	"04041002"	3126
	503	"04053017"	3309
	504	"04053018"	3310
	505	"04053019"	3311
	506	"04016003"	3312
	507	"04007012"	3313
	508	"04023015"	3314
	509	"04023016"	3302
	510	"03023014"	3134
	511	"03059005"	3071
	512	"04023017"	3155
	513	"03036002"	3237
	514	"04036005"	3110
	515	"04007013"	3143
	516	"03058029"	3315
	517	"04007014"	3316
	518	"03010007"	3065
	519	"03040002"	3094
	520	"03010008"	3300
	521	"03023015"	3317
	522	"03023016"	3233
	523	"03058030"	3318
	524	"04007015"	3200
	525	"04007016"	3319
	526	"04007017"	3154
	527	"03004011"	3085
	528	"04063002"	3320
	529	"04063003"	3321
	530	"03036003"	3091
	531	"03036004"	3094
	532	"03036005"	3145
	533	"03046006"	3075
	534	"04002002"	3070
	535	"03056002"	3092
	536	"03056003"	3093
	537	"03056004"	3094
	538	"03056005"	3095
	539	"03056006"	3096
	540	"03056007"	3097
	541	"03020001"	3077
	542	"04002003"	3126
	543	"04056002"	3160
	544	"03059006"	3086
	545	"99055004"	3322
	546	"99055005"	3323
	547	"03023017"	3324
	548	"04053020"	3325
	549	"03059007"	3084
	550	"04056003"	3326
	551	"04056004"	3327
	552	"04056005"	3107
	553	"04059002"	3111
	554	"04059003"	3109
	555	"04059004"	3106
	556	"04059005"	3104
	557	"03059008"	3083
	558	"03059009"	3073
	559	"03014001"	3210
	560	"03014002"	3237
	561	"03014003"	3328
	562	"03014004"	3329
	563	"03014005"	3153
	564	"03014006"	3330
	565	"03014007"	3203
	566	"03014008"	3165
	567	"04015001"	3101
	568	"04015002"	3102
	569	"04015003"	3103
	570	"03021007"	3236
	571	"03023018"	3331
	572	"03011021"	3332
